date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AMD,AVGO,ORCL,CRM,ADBE,CSCO,IBM,INTC,QCOM,ACN,NOW,TXN,DIS,CMCSA,NFLX,JPM,GS,BAC,MS,BLK,C,WFC,SCHW,AXP,USB,SPGI,ICE,BK,JNJ,UNH,ABBV,LLY,MRK,TMO,ABT,PFE,DHR,ISRG,GILD,WMT,HD,COST,MCD,NKE,KO,PEP,PG,LOW,TJX,SBUX,BKNG,CAT,DE,BA,GE,UPS,RTX,HON,UNP,CSX,LMT,ETN,XOM,CVX,COP,SLB,EOG,FCX,NEM,NEE,AMT,PLD
2016-03-28,26.3,53.54,37.66,28.99,113.69,0.87,15.35,2.78,15.31,40.62,71.95,92.4,27.9,148.4,31.9,50.19,114.17,12.07,56.52,98.09,28.15,10.12,59.4,153.84,13.62,24.72,336.91,41.92,48.7,28.09,60.28,40.69,97.39,47.0,37.34,108.23,128.92,56.11,70.62,50.37,138.53,40.88,29.78,63.81,64.91,92.46,22.71,131.08,152.67,123.17,61.34,45.8,,82.62,74.99,38.88,58.96,1287.03,75.32,80.17,131.29,150.7002,105.06,58.34,100.1,78.81,8.54,219.06,62.47,84.22,94.68,39.68,72.8,74.53,10.14,25.7,29.4,100.24,42.95
2016-03-29,26.92,54.71,38.29,29.69,116.14,0.88,15.34,2.86,15.41,40.7,72.3,93.22,28.1,149.33,32.38,50.69,115.26,12.23,57.41,98.16,28.46,10.41,59.03,155.03,13.42,24.78,339.91,41.72,48.05,28.02,60.6,40.39,99.46,46.94,36.97,109.14,129.83,57.05,71.7,50.84,140.15,41.47,30.05,64.0,67.01,92.2,22.68,132.47,155.26,123.97,61.49,46.48,,82.8,75.67,39.31,59.55,1307.89,76.01,80.5,130.88,150.6524,106.1,59.05,100.37,79.8,8.63,220.76,62.37,84.53,95.32,39.62,73.0,75.45,10.14,26.95,29.75,101.92,43.84
2016-03-30,27.39,55.05,38.42,29.93,114.7,0.89,15.13,2.86,15.69,40.97,74.3,93.78,28.46,148.41,32.71,50.99,115.37,12.21,58.37,98.91,28.48,10.22,59.71,156.5,13.48,25.07,341.37,41.88,48.65,28.17,60.29,40.99,98.94,46.64,37.14,108.98,129.68,57.0,71.78,50.75,140.79,41.65,30.07,63.84,66.48,91.97,22.93,133.42,157.6,125.83,62.04,46.58,,82.68,76.02,39.34,60.01,1317.03,76.51,80.12,128.58,152.3273,105.73,59.13,100.61,80.56,8.77,222.96,62.75,84.52,95.25,40.08,74.41,73.66,10.29,26.75,29.63,102.31,43.67
2016-03-31,27.25,55.23,38.15,29.68,114.1,0.89,15.32,2.85,15.45,40.91,73.83,93.8,28.47,151.45,32.35,51.14,115.4,12.24,57.42,99.31,28.61,10.22,59.22,156.98,13.52,25.01,340.57,41.75,48.36,28.02,61.4,40.59,98.98,47.03,36.83,108.2,128.9,57.12,72.01,50.45,141.59,41.83,29.64,63.73,66.78,91.86,22.83,133.43,157.58,125.68,61.47,46.39,,82.31,75.75,39.18,59.7,1288.96,76.54,76.99,126.94,152.1359,105.47,59.04,100.51,79.55,8.58,221.5,62.56,83.59,95.4,40.27,73.75,72.58,10.34,26.58,29.59,102.37,44.18
2016-04-01,27.5,55.57,38.48,29.93,116.06,0.9,15.84,2.83,15.78,41.16,75.73,95.16,28.69,152.52,32.45,50.88,116.35,12.41,57.94,99.07,28.98,10.57,59.87,159.82,13.56,25.53,342.53,42.47,48.45,28.38,61.1,40.7,99.3,47.14,36.93,109.19,129.92,57.42,73.42,51.2,142.67,42.19,30.04,64.24,67.39,94.12,23.02,134.85,158.25,127.02,61.59,46.83,,83.53,76.5,39.39,61.02,1299.7,76.79,76.5,126.96,152.8059,104.95,58.96,101.56,78.92,8.54,223.11,63.66,82.96,94.26,39.78,72.12,72.04,9.89,26.62,29.68,104.5,44.62
2016-04-04,27.78,55.43,38.26,29.66,112.55,0.89,16.47,2.83,15.6,41.07,75.69,94.5,28.14,152.07,32.0,50.65,115.5,12.86,57.72,98.68,28.77,10.44,59.2,157.77,13.51,25.04,338.52,42.06,48.5,27.99,60.62,40.68,98.19,47.3,37.04,108.59,129.49,59.21,73.18,51.87,144.05,42.32,30.72,62.98,69.12,94.24,23.03,134.85,157.73,127.57,59.97,46.89,,83.21,76.18,39.28,60.25,1281.76,75.72,75.9,126.34,149.456,104.88,59.14,100.95,78.34,8.39,224.13,62.65,83.16,93.43,39.1,72.64,70.31,9.42,26.3,29.68,104.7,44.39
2016-04-05,27.45,54.56,37.93,29.31,112.22,0.89,17.03,2.76,15.5,40.53,74.58,94.17,27.58,150.0,31.9,50.07,114.13,12.73,57.71,97.0,28.63,10.49,58.36,155.35,13.19,24.38,334.8,41.51,47.51,27.39,60.19,40.05,96.38,47.44,36.52,108.95,127.04,58.54,73.04,51.72,141.38,42.04,31.36,62.66,68.1,95.57,22.88,134.58,155.99,127.38,59.67,46.53,,83.16,75.87,38.85,60.04,1279.08,75.24,76.07,127.03,148.2595,103.92,58.9,100.26,78.62,8.35,225.62,60.39,82.21,92.67,39.04,72.66,70.54,9.34,27.3,29.09,104.0,44.12
2016-04-06,27.74,55.12,38.4,30.1,113.71,0.89,17.69,2.8,15.75,40.75,75.58,95.4,28.0,150.02,32.08,50.62,114.67,12.77,58.36,97.48,29.13,10.48,58.81,155.19,13.27,24.42,337.2,41.86,48.08,27.83,59.88,40.09,97.71,47.57,36.97,109.42,128.03,59.89,74.76,53.04,145.11,43.05,32.93,63.04,69.57,97.44,23.01,135.44,156.77,127.52,60.31,46.71,,83.81,76.09,38.8,60.83,1293.01,75.22,76.34,127.93,147.8767,104.67,59.2,101.41,78.35,8.28,226.63,59.55,83.31,94.84,40.75,73.16,71.22,9.61,27.74,29.18,105.7,44.05
2016-04-07,27.14,54.46,38.01,29.57,113.64,0.89,17.15,2.64,15.5,39.97,75.32,93.78,27.6,148.25,31.55,50.03,112.1,12.8,57.15,96.16,28.76,10.45,57.32,150.41,12.85,23.72,328.37,40.27,46.93,26.39,58.86,39.1,96.73,46.9,35.67,109.27,126.87,59.3,74.59,52.84,142.05,42.61,32.76,62.67,68.31,95.57,22.74,133.87,152.03,128.14,60.3,46.36,,83.24,75.35,38.1,61.17,1276.5,74.17,76.18,127.0,146.5846,103.99,59.51,100.16,78.0,8.21,226.48,59.48,82.37,94.79,40.31,72.01,71.45,8.85,27.96,29.05,105.0,43.65
2016-04-08,27.17,54.42,37.97,29.73,110.63,0.89,16.67,2.74,15.62,40.36,74.85,94.07,27.69,149.35,31.63,50.56,112.83,12.9,57.89,96.42,28.85,10.38,57.74,150.28,12.88,23.75,331.6,40.47,47.07,26.61,59.5,39.38,97.23,46.7,35.49,109.1,125.68,58.47,74.39,52.79,142.21,42.37,32.5,62.61,68.86,96.09,22.69,133.62,151.65,127.96,59.42,46.87,,83.2,75.03,38.09,61.04,1274.15,74.35,76.31,127.88,147.3503,104.31,59.76,100.57,79.17,8.27,226.3,59.91,83.21,96.33,41.23,73.85,73.47,9.33,29.1,29.2,105.71,44.12
