date,open,high,low,close,volume
2018-01-24,44.96,44.96,44.96,44.96,0.0
2018-01-25,45.11,45.11,45.11,45.11,0.0
2018-01-26,45.02,45.02,45.02,45.02,0.0
2018-01-29,44.71,44.71,44.71,44.71,0.0
2018-01-30,44.18,44.18,44.18,44.18,0.0
2018-01-31,44.02,44.02,44.02,44.02,0.0
2018-02-01,44.02,44.02,44.02,44.02,0.0
2018-02-02,43.21,43.21,43.21,43.21,0.0
2018-02-05,42.92,42.92,42.92,42.92,0.0
2018-02-06,42.71,42.71,42.71,42.71,0.0
2018-02-07,42.12,42.12,42.12,42.12,0.0
2018-02-08,42.15,42.15,42.15,42.15,0.0
2018-02-09,41.69,41.69,41.69,41.69,0.0
2018-02-12,41.89,41.89,41.89,41.89,0.0
2018-02-13,42.47,42.47,42.47,42.47,0.0
2018-02-14,42.46,42.46,42.46,42.46,0.0
2018-02-15,42.41,42.41,42.41,42.41,0.0
2018-02-16,42.65,42.65,42.65,42.65,0.0
2018-02-20,43.16,43.16,43.16,43.16,0.0
2018-02-21,43.19,43.19,43.19,43.19,0.0
2018-02-22,43.31,43.31,43.31,43.31,0.0
2018-02-23,43.97,43.97,43.97,43.97,0.0
2018-02-26,44.49,44.49,44.49,44.49,0.0
2018-02-27,44.16,44.16,44.16,44.16,0.0
2018-02-28,42.86,42.86,42.86,42.86,0.0
2018-03-01,42.6,42.6,42.6,42.6,0.0
2018-03-02,42.63,42.63,42.63,42.63,0.0
2018-03-05,43.24,43.24,43.24,43.24,0.0
2018-03-06,43.3,43.3,43.3,43.3,0.0
2018-03-07,42.8,42.8,42.8,42.8,0.0
2018-03-08,42.8,42.8,42.8,42.8,0.0
2018-03-09,43.62,43.62,43.62,43.62,0.0
2018-03-12,43.54,43.54,43.54,43.54,0.0
2018-03-13,43.44,43.44,43.44,43.44,0.0
2018-03-14,43.56,43.56,43.56,43.56,0.0
2018-03-15,43.39,43.39,43.39,43.39,0.0
2018-03-16,43.37,43.37,43.37,43.37,0.0
2018-03-19,43.02,43.02,43.02,43.02,0.0
2018-03-20,43.16,43.16,43.16,43.16,0.0
2018-03-21,43.76,43.76,43.76,43.76,0.0
2018-03-28,43.59,43.59,43.59,43.59,0.0
2018-03-29,43.4,43.4,43.4,43.4,0.0
2018-04-02,42.61,42.61,42.61,42.61,0.0
2018-04-03,42.93,42.93,42.93,42.93,0.0
2018-04-04,42.91,42.91,42.91,42.91,0.0
2018-04-05,43.03,43.03,43.03,43.03,0.0
2018-04-06,42.44,42.44,42.44,42.44,0.0
2018-04-09,42.57,42.57,42.57,42.57,0.0
