date,open,high,low,close,volume
2021-12-15,627.25,627.25,627.25,627.25,0.0
2021-12-16,635.0,635.0,635.0,635.0,0.0
2021-12-17,634.0,634.0,634.0,634.0,0.0
2021-12-20,632.75,632.75,632.75,632.75,0.0
2021-12-21,635.25,635.25,635.25,635.25,0.0
2021-12-22,636.5,636.5,636.5,636.5,0.0
2021-12-23,637.75,637.75,637.75,637.75,0.0
2021-12-27,642.25,642.25,642.25,642.25,0.0
2021-12-28,636.0,636.0,636.0,636.0,0.0
2021-12-29,641.25,641.25,641.25,641.25,0.0
2021-12-30,634.0,634.0,634.0,634.0,0.0
2021-12-31,635.75,635.75,635.75,635.75,0.0
2022-01-03,638.75,638.75,638.75,638.75,0.0
2022-01-04,643.75,643.75,643.75,643.75,0.0
2022-01-05,642.5,642.5,642.5,642.5,0.0
2022-01-06,652.0,653.5,652.0,653.5,2.0
2022-01-07,664.0,664.0,664.0,664.0,0.0
2022-01-10,670.75,670.75,670.75,670.75,0.0
2022-01-11,669.75,669.75,669.75,669.75,0.0
2022-01-12,670.75,678.25,670.75,678.25,2.0
2022-01-13,680.5,680.5,680.5,680.5,0.0
2022-01-14,672.75,672.75,672.75,672.75,0.0
2022-01-18,670.5,670.5,670.5,670.5,0.0
2022-01-19,683.75,683.75,683.75,683.75,0.0
2022-01-20,679.25,679.25,679.25,679.25,0.0
2022-01-21,679.75,679.75,679.75,679.75,0.0
2022-01-24,683.0,683.0,683.0,683.0,0.0
2022-01-25,693.25,693.25,693.25,693.25,0.0
2022-01-26,692.0,692.0,692.0,692.0,0.0
2022-01-27,687.5,687.5,687.5,687.5,0.0
2022-01-28,690.0,690.0,690.0,690.0,0.0
2022-01-31,686.25,686.25,686.25,686.25,0.0
2022-02-01,695.75,695.75,695.75,695.75,2.0
2022-02-02,693.75,693.75,693.75,693.75,0.0
2022-02-03,688.25,688.25,688.25,688.25,0.0
2022-02-04,690.0,690.0,690.0,690.0,0.0
2022-02-07,696.5,696.5,696.5,696.5,0.0
2022-02-08,697.0,697.0,697.0,697.0,0.0
2022-02-09,708.5,708.5,708.5,708.5,0.0
2022-02-10,702.5,702.5,702.5,702.5,0.0
2022-02-11,702.0,707.25,702.0,707.25,5.0
2022-02-14,708.5,711.5,708.5,711.5,2.0
2022-02-15,705.0,705.0,705.0,705.0,0.0
2022-02-16,706.75,706.75,706.75,706.75,0.0
2022-02-17,710.0,710.0,710.0,710.0,0.0
2022-02-18,709.75,710.5,709.75,710.5,1.0
2022-02-22,719.75,719.75,719.75,719.75,0.0
2022-02-23,719.25,722.25,719.0,722.25,2.0
2022-02-24,714.75,714.75,714.75,714.75,0.0
2022-02-25,689.0,689.0,689.0,689.0,0.0
2022-02-28,709.0,709.0,709.0,709.0,0.0
2022-03-01,727.0,727.0,727.0,727.0,0.0
2022-03-02,716.75,716.75,716.75,716.75,0.0
2022-03-03,702.0,702.0,702.0,702.0,0.0
2022-03-04,712.25,712.25,712.25,712.25,0.0
2022-03-07,724.25,724.25,724.25,724.25,0.0
2022-03-08,724.0,724.0,724.0,724.0,0.0
2022-03-09,722.25,726.0,722.25,726.0,1.0
2022-03-10,734.5,734.5,734.5,734.5,0.0
2022-03-11,736.5,736.5,736.5,736.5,0.0
2022-03-14,727.75,734.0,725.75,734.0,5.0
2022-03-15,731.25,731.25,731.25,731.25,0.0
2022-03-16,716.0,716.0,716.0,716.0,0.0
2022-03-17,732.0,732.0,732.0,732.0,0.0
2022-03-18,731.5,731.5,731.5,731.5,0.0
2022-03-21,742.5,742.5,742.5,742.5,0.0
2022-03-22,749.25,749.25,749.25,749.25,0.0
2022-03-23,753.0,753.0,753.0,753.0,0.0
2022-03-24,754.75,754.75,754.75,754.75,0.0
2022-03-25,757.25,757.25,757.25,757.25,0.0
2022-03-28,759.75,759.75,759.75,759.75,0.0
2022-03-29,770.5,770.5,763.75,763.75,4.0
2022-03-30,756.0,770.75,755.5,770.75,4.0
2022-03-31,773.0,773.0,773.0,773.0,0.0
2022-04-01,780.25,780.25,780.25,780.25,0.0
2022-04-04,783.5,789.5,783.5,789.5,2.0
2022-04-05,787.75,794.25,787.75,794.25,1.0
2022-04-06,787.5,798.0,787.5,797.0,4.0
2022-04-07,808.75,808.75,808.75,808.75,0.0
2022-04-08,814.25,816.75,812.75,816.5,29.0
2022-04-11,820.5,821.75,820.5,820.5,15.0
2022-04-12,830.75,830.75,830.75,830.75,0.0
2022-04-13,831.25,838.25,831.25,838.25,7.0
2022-04-14,837.5,839.0,837.5,839.0,4.0
2022-04-18,844.0,848.5,844.0,848.5,3.0
2022-04-19,848.5,855.0,845.25,854.5,22.0
2022-04-20,855.5,855.5,855.5,855.5,0.0
2022-04-21,848.75,848.75,843.75,844.5,3.0
2022-04-22,830.0,832.75,830.0,832.75,2.0
2022-04-25,826.75,850.5,826.75,850.5,5.0
2022-04-26,856.75,856.75,856.75,856.75,0.0
2022-04-27,856.75,857.0,856.75,857.0,2.0
2022-04-28,858.25,858.25,854.75,856.25,39.0
2022-04-29,857.0,857.0,855.5,855.5,3.0
2022-05-02,839.0,846.25,839.0,846.25,1.0
2022-05-03,837.25,837.25,837.25,837.25,0.0
2022-05-04,838.25,838.25,833.75,837.25,6.0
2022-05-05,839.75,839.75,839.75,839.75,0.0
2022-05-06,825.0,825.0,821.0,821.0,1.0
2022-05-09,802.5,809.0,802.5,809.0,2.0
