date,open,high,low,close,volume
2021-07-15,877.75,877.75,877.75,877.75,0.0
2021-07-16,894.25,894.25,894.25,894.25,0.0
2021-07-19,898.0,898.0,898.0,898.0,0.0
2021-07-20,894.0,894.0,894.0,894.0,0.0
2021-07-21,907.0,907.0,907.0,907.0,0.0
2021-07-22,889.0,889.0,889.0,889.0,0.0
2021-07-23,881.75,881.75,881.75,881.75,0.0
2021-07-26,875.75,875.75,875.75,875.75,0.0
2021-07-27,871.75,871.75,871.75,871.75,0.0
2021-07-28,883.5,883.5,883.5,883.5,0.0
2021-07-29,900.25,900.25,900.25,900.25,0.0
2021-07-30,901.0,901.0,901.0,901.0,0.0
2021-08-02,923.0,923.0,923.0,923.0,0.0
2021-08-03,918.25,918.25,918.25,918.25,0.0
2021-08-04,917.0,917.0,917.0,917.0,0.0
2021-08-05,915.0,915.0,915.0,915.0,0.0
2021-08-06,930.0,930.0,930.0,930.0,0.0
2021-08-09,926.5,926.5,926.5,926.5,0.0
2021-08-10,929.25,929.25,929.25,929.25,0.0
2021-08-11,923.5,923.5,923.5,923.5,0.0
2021-08-12,927.0,927.0,927.0,927.0,0.0
2021-08-13,935.5,935.5,935.5,935.5,0.0
2021-08-16,940.0,940.0,940.0,940.0,0.0
2021-08-17,925.0,925.0,925.0,925.0,0.0
2021-08-18,922.0,922.0,922.0,922.0,0.0
2021-08-19,910.25,910.25,910.25,910.25,0.0
2021-08-20,900.25,900.25,900.25,900.25,0.0
2021-08-23,913.0,913.0,913.0,913.0,0.0
2021-08-24,912.0,912.0,912.0,912.0,0.0
2021-08-25,903.0,903.0,903.0,903.0,0.0
2021-08-26,913.75,913.75,913.75,913.75,0.0
2021-08-27,913.0,913.0,913.0,913.0,0.0
2021-08-30,910.75,910.75,910.75,910.75,0.0
2021-08-31,926.0,926.0,926.0,926.0,0.0
2021-09-01,914.0,914.0,914.0,914.0,0.0
2021-09-02,915.25,915.25,915.25,915.25,0.0
2021-09-03,922.5,922.5,922.5,922.5,0.0
2021-09-07,910.25,910.25,910.25,910.25,0.0
2021-09-08,902.25,902.25,902.25,902.25,0.0
2021-09-09,885.0,885.0,885.0,885.0,0.0
2021-09-10,896.75,896.75,896.75,896.75,0.0
2021-09-13,893.75,893.75,893.75,893.75,0.0
2021-09-14,908.0,908.0,908.0,908.0,0.0
2021-09-15,915.25,915.25,915.25,915.25,0.0
2021-09-16,912.75,912.75,912.75,912.75,0.0
2021-09-17,909.75,909.75,909.75,909.75,0.0
2021-09-20,906.75,906.75,906.75,906.75,0.0
2021-09-21,901.75,901.75,901.75,901.75,0.0
2021-09-22,921.25,921.25,921.25,921.25,0.0
2021-09-23,932.5,932.5,932.5,932.5,0.0
2021-09-24,930.0,930.0,930.0,930.0,0.0
2021-09-27,930.0,930.0,930.0,930.0,0.0
2021-09-28,912.75,912.75,912.75,912.75,0.0
2021-09-29,919.5,919.5,919.5,919.5,0.0
2021-09-30,936.0,936.0,936.0,936.0,0.0
2021-10-01,957.25,957.25,957.25,957.25,0.0
2021-10-04,968.25,968.25,968.25,968.25,0.0
2021-10-05,956.75,956.75,956.75,956.75,0.0
2021-10-06,956.75,956.75,956.75,956.75,0.0
2021-10-07,967.75,967.75,967.75,967.75,0.0
2021-10-08,962.75,962.75,962.75,962.75,0.0
2021-10-11,966.75,966.75,966.75,966.75,0.0
2021-10-12,961.5,961.5,961.5,961.5,0.0
2021-10-13,948.25,948.25,948.25,948.25,0.0
2021-10-14,953.75,953.75,953.75,953.75,0.0
2021-10-15,962.75,962.75,962.75,962.75,0.0
2021-10-18,962.25,962.25,962.25,962.25,0.0
2021-10-19,958.25,958.25,958.25,958.25,0.0
2021-10-20,969.75,969.75,969.75,969.75,0.0
2021-10-21,960.75,960.75,960.75,960.75,0.0
2021-10-22,972.25,972.25,972.25,972.25,0.0
2021-10-25,979.5,979.5,979.5,979.5,0.0
2021-10-26,976.0,976.0,976.0,976.0,0.0
2021-10-27,987.0,987.0,987.0,987.0,0.0
2021-10-28,994.5,994.5,994.5,994.5,0.0
2021-10-29,992.5,992.5,992.5,992.5,0.0
2021-11-01,1005.75,1005.75,1005.75,1005.75,0.0
2021-11-02,1003.75,1003.75,1003.75,1003.75,0.0
2021-11-03,994.75,994.75,994.75,994.75,0.0
2021-11-04,985.0,985.0,985.0,985.0,0.0
2021-11-05,985.75,985.75,985.75,985.75,0.0
2021-11-08,990.75,990.75,990.75,990.75,0.0
2021-11-09,998.75,998.75,998.75,998.75,0.0
2021-11-10,1008.25,1008.25,1008.25,1008.25,0.0
2021-11-11,1013.25,1013.25,1013.25,1013.25,0.0
2021-11-12,1014.25,1014.25,1014.25,1014.25,0.0
2021-11-15,1016.25,1016.25,1016.25,1016.25,0.0
2021-11-16,1011.75,1011.75,1011.75,1011.75,0.0
2021-11-17,1020.0,1020.0,1020.0,1020.0,0.0
2021-11-18,1017.0,1017.0,1017.0,1017.0,0.0
2021-11-19,1015.0,1015.0,1015.0,1015.0,0.0
2021-11-22,1025.75,1025.75,1025.75,1025.75,0.0
2021-11-23,1029.0,1029.0,1029.0,1029.0,0.0
