date,open,high,low,close,volume
2016-03-21,26.48,26.91,26.29,26.48,122811356.0
2016-03-22,26.31,26.82,26.3,26.68,106327728.0
2016-03-23,26.62,26.77,26.48,26.53,88370580.0
2016-03-24,26.37,26.56,26.22,26.42,85892384.0
2016-03-28,26.5,26.55,26.27,26.3,63170072.0
2016-03-29,26.22,26.95,26.22,26.92,104248716.0
2016-03-30,27.16,27.61,27.15,27.39,155070392.0
2016-03-31,27.43,27.48,27.22,27.25,79439116.0
2016-04-01,27.2,27.5,27.05,27.5,82408316.0
2016-04-04,27.61,28.05,27.57,27.78,127513608.0
2016-04-05,27.38,27.68,27.36,27.45,90226544.0
2016-04-06,27.56,27.75,27.3,27.74,89267924.0
2016-04-07,27.49,27.61,27.03,27.14,102663756.0
2016-04-08,27.24,27.44,27.04,27.17,79480264.0
2016-04-11,27.24,27.65,27.21,27.25,94799760.0
2016-04-12,27.34,27.63,27.17,27.61,94988268.0
2016-04-13,27.7,28.09,27.7,28.01,113977328.0
2016-04-14,27.91,28.1,27.83,28.03,86395968.0
2016-04-15,28.03,28.08,27.43,27.46,152347372.0
2016-04-18,27.22,27.24,26.74,26.87,168916700.0
2016-04-19,26.97,27.0,26.56,26.73,108716980.0
2016-04-20,26.66,27.02,26.52,26.78,97020060.0
2016-04-21,26.73,26.73,26.38,26.49,109583864.0
2016-04-22,26.25,26.62,26.16,26.42,110239668.0
2016-04-25,26.23,26.41,26.13,26.27,95664300.0
2016-04-26,25.98,26.33,25.98,26.09,139613696.0
2016-04-27,24.0,24.68,23.92,24.46,384014072.0
2016-04-28,24.4,24.47,23.56,23.71,291264576.0
2016-04-29,23.5,23.68,23.13,23.43,235961628.0
2016-05-02,23.49,23.52,23.1,23.41,170931216.0
2016-05-03,23.55,23.93,23.42,23.8,199649884.0
2016-05-04,23.8,23.98,23.46,23.55,134361956.0
2016-05-05,23.5,23.52,23.17,23.31,121314520.0
2016-05-06,23.34,23.36,22.96,23.18,155859496.0
2016-05-09,23.25,23.44,23.15,23.2,108847228.0
2016-05-10,23.33,23.39,23.03,23.36,119627992.0
