date,open,high,low,close,volume
2016-03-28,56.35,56.7,55.8,56.11,2879058.0
2016-03-29,56.1,57.1,55.21,57.05,3562498.0
2016-03-30,57.43,57.53,56.72,57.0,2876191.0
2016-03-31,57.02,57.46,56.82,57.12,3499062.0
2016-04-01,56.58,57.57,56.36,57.42,3230755.0
2016-04-04,57.64,59.4,57.49,59.21,6873534.0
2016-04-05,58.54,59.56,58.08,58.54,5637350.0
2016-04-06,58.52,59.9,58.52,59.89,5106368.0
2016-04-07,59.42,59.9,58.76,59.3,5121289.0
2016-04-08,59.49,59.8,58.17,58.47,4797689.0
2016-04-11,58.59,59.25,58.25,58.5,3876804.0
2016-04-12,59.09,60.05,58.69,59.89,5797170.0
2016-04-13,59.87,60.0,58.7,59.06,5897794.0
2016-04-14,59.15,59.49,59.0,59.28,3490941.0
2016-04-15,59.55,59.74,58.78,59.51,3486143.0
2016-04-18,59.5,60.32,59.3,59.88,4291465.0
2016-04-19,60.09,61.23,59.67,60.17,5120319.0
2016-04-20,60.17,61.11,59.96,60.48,3582118.0
2016-04-21,60.57,61.43,60.54,61.37,4514128.0
2016-04-22,61.3,61.99,60.96,61.42,4126755.0
2016-04-25,61.13,61.29,60.75,60.97,3092579.0
2016-04-26,60.96,61.29,60.53,60.93,3157482.0
2016-04-27,60.93,61.48,60.25,60.7,4501119.0
2016-04-28,58.56,62.1,57.53,61.2,14332524.0
2016-04-29,61.03,61.45,60.48,61.0,10670740.0
2016-05-02,60.79,62.0,60.7,61.44,8533008.0
2016-05-03,60.99,62.09,60.72,61.77,7902341.0
2016-05-04,61.3,61.65,61.01,61.46,6551828.0
2016-05-05,61.41,62.4,61.09,62.34,6938547.0
2016-05-06,62.0,62.75,61.65,62.51,9256171.0
2016-05-09,62.36,63.87,62.28,63.7,8604094.0
2016-05-10,63.5,63.76,63.32,63.74,10863260.0
2016-05-11,63.77,63.83,62.64,62.7,8207108.0
2016-05-12,62.86,63.07,62.38,62.49,7065242.0
2016-05-13,62.15,62.86,61.82,62.0,6425325.0
2016-05-16,61.91,62.62,61.5,62.45,5731213.0
2016-05-17,62.44,62.79,58.5,60.25,29156531.0
2016-05-18,59.87,60.8,59.56,60.46,9115211.0
2016-05-19,60.06,60.35,58.9,59.28,8577321.0
2016-05-20,59.63,60.05,59.03,59.69,9360156.0
2016-05-23,59.75,59.84,59.13,59.3,5311569.0
2016-05-24,59.73,60.91,59.52,60.7,7328534.0
2016-05-25,61.08,61.47,60.79,61.22,4501298.0
2016-05-26,61.0,62.17,60.9,61.9,5142740.0
2016-05-27,61.99,63.2,61.9,62.71,4858615.0
2016-05-31,62.71,63.49,62.64,62.93,5111726.0
2016-06-01,62.9,63.17,62.63,62.83,3913493.0
2016-06-02,62.87,65.15,62.83,65.09,8342261.0
2016-06-03,64.76,65.37,63.75,65.0,6858695.0
2016-06-06,62.13,62.99,61.87,62.82,13542596.0
2016-06-07,62.59,63.59,62.3,63.1,8732125.0
2016-06-08,62.21,62.3,61.37,61.73,11658038.0
2016-06-09,61.5,62.17,60.51,60.75,9400315.0
2016-06-10,59.95,61.01,59.72,61.0,8620063.0
2016-06-13,60.46,61.39,59.85,59.93,10233885.0
2016-06-14,59.46,60.38,59.16,59.9,10400560.0
2016-06-15,60.29,61.27,60.01,60.4,6655958.0
2016-06-16,59.92,60.94,59.91,60.9,6206628.0
2016-06-17,60.88,60.97,59.57,60.01,8989638.0
2016-06-20,60.64,61.18,60.06,60.11,5892985.0
2016-06-21,60.2,60.4,59.75,59.98,5295419.0
2016-06-22,60.0,61.18,59.92,60.39,5652799.0
2016-06-23,60.86,61.32,60.62,61.31,4551987.0
2016-06-24,59.26,60.6,59.18,59.86,7995892.0
2016-06-27,59.38,59.68,58.32,58.68,6373520.0
2016-06-28,59.28,60.13,59.15,59.99,7368081.0
2016-06-29,60.58,62.03,60.23,61.81,8046744.0
2016-06-30,61.79,62.02,61.14,61.91,6160451.0
2016-07-01,61.98,63.22,61.83,62.71,5451822.0
2016-07-05,62.5,62.71,61.77,61.92,4943270.0
2016-07-06,61.84,63.76,61.8,63.37,7673048.0
2016-07-07,63.6,63.75,63.21,63.43,5294913.0
2016-07-08,63.48,64.48,62.74,64.16,6606098.0
2016-07-11,64.25,64.99,64.07,64.35,5991846.0
