date,open,high,low,close,volume
2016-03-21,27.45,27.76,26.93,27.7,81481840.0
2016-03-22,27.26,28.14,27.25,28.02,59096960.0
2016-03-23,28.03,28.62,27.91,28.48,61478320.0
2016-03-24,28.36,29.18,28.35,29.15,75308080.0
2016-03-28,29.22,29.24,28.78,28.99,47894860.0
2016-03-29,29.01,29.79,28.83,29.69,64343440.0
2016-03-30,29.84,30.16,29.75,29.93,59227700.0
2016-03-31,29.96,30.04,29.61,29.68,36872200.0
2016-04-01,29.52,29.95,29.42,29.93,40980420.0
2016-04-04,29.95,29.98,29.53,29.66,36471400.0
2016-04-05,29.54,29.67,29.26,29.31,31288840.0
2016-04-06,29.38,30.12,29.38,30.1,42271740.0
2016-04-07,29.94,29.98,29.45,29.57,45461060.0
2016-04-08,29.72,29.89,29.45,29.73,38850880.0
2016-04-11,29.81,30.2,29.75,29.8,37970680.0
2016-04-12,29.92,30.2,29.62,30.16,37353600.0
2016-04-13,30.38,30.84,30.26,30.74,60266120.0
2016-04-14,30.75,31.22,30.75,31.04,44818440.0
2016-04-15,31.1,31.34,30.91,31.29,40699280.0
2016-04-18,31.27,31.88,31.25,31.77,61313880.0
2016-04-19,31.86,31.9,31.04,31.4,61027040.0
2016-04-20,31.5,31.83,31.15,31.65,36045140.0
2016-04-21,31.56,31.89,31.43,31.55,36156520.0
2016-04-22,31.18,31.41,30.58,31.03,72983460.0
2016-04-25,30.83,31.35,30.81,31.31,35443840.0
2016-04-26,31.31,31.34,30.74,30.84,34792220.0
2016-04-27,30.59,30.8,30.06,30.33,56160720.0
2016-04-28,30.78,31.34,29.96,30.1,81158980.0
2016-04-29,33.3,33.5,32.7,32.98,146455600.0
2016-05-02,33.2,34.27,33.1,34.19,96328800.0
2016-05-03,33.87,34.02,33.52,33.57,72951380.0
2016-05-04,33.13,33.7,33.11,33.55,68274620.0
2016-05-05,33.67,33.82,32.8,32.95,71725140.0
2016-05-06,32.8,33.85,32.8,33.7,62833440.0
2016-05-09,33.7,34.35,33.57,33.99,59370980.0
2016-05-10,34.7,35.23,34.68,35.15,90691320.0
2016-05-11,35.29,35.95,35.08,35.66,112455980.0
2016-05-12,35.87,36.12,35.58,35.9,72858540.0
2016-05-13,35.73,35.96,35.33,35.5,68438940.0
2016-05-16,35.51,35.66,35.01,35.53,81836680.0
2016-05-17,35.49,35.72,34.7,34.76,73821400.0
