date,open,high,low,close,volume
2016-03-28,132.53,132.62,130.55,131.29,2563331.0
2016-03-29,129.83,130.93,128.18,130.88,4195012.0
2016-03-30,131.48,132.73,128.02,128.58,4972424.0
2016-03-31,128.09,128.38,125.25,126.94,6559811.0
2016-04-01,126.23,127.09,125.11,126.96,4441121.0
2016-04-04,126.54,127.98,125.88,126.34,4384007.0
2016-04-05,126.15,128.59,125.58,127.03,3904994.0
2016-04-06,127.16,128.04,125.75,127.93,3089037.0
2016-04-07,127.0,128.94,126.56,127.0,3749369.0
2016-04-08,128.04,130.02,127.61,127.88,3300178.0
2016-04-11,128.25,129.9,127.68,127.91,2957894.0
2016-04-12,127.62,130.38,126.68,129.47,3635073.0
2016-04-13,130.49,131.5,129.81,131.14,2798048.0
2016-04-14,131.5,131.95,130.53,130.85,2744759.0
2016-04-15,130.95,131.6,130.68,131.13,2870942.0
2016-04-18,130.64,132.25,130.32,131.97,2006728.0
2016-04-19,132.57,133.85,132.21,132.68,2272649.0
2016-04-20,128.55,131.36,128.49,130.57,5849172.0
2016-04-21,130.98,132.64,130.3,130.74,3811365.0
2016-04-22,131.09,131.83,130.5,131.05,3234703.0
2016-04-25,130.45,131.0,129.31,130.75,3256548.0
2016-04-26,131.25,133.27,131.06,133.24,5270326.0
2016-04-27,133.2,137.89,131.94,137.08,5785166.0
2016-04-28,136.32,137.72,134.5,134.8,3918242.0
2016-04-29,134.42,135.23,132.81,134.8,2870109.0
2016-05-02,134.38,135.0,133.22,134.01,3059045.0
2016-05-03,132.86,133.31,131.46,132.49,3318221.0
2016-05-04,131.59,132.31,130.53,130.89,2717705.0
2016-05-05,131.73,132.64,131.12,132.08,3585517.0
2016-05-06,132.11,133.63,131.76,133.26,2043174.0
2016-05-09,132.8,133.81,131.82,132.1,2906136.0
2016-05-10,133.18,135.24,132.79,134.72,2665020.0
2016-05-11,133.81,134.99,132.94,133.0,2515833.0
2016-05-12,133.49,135.04,133.49,134.42,3931484.0
2016-05-13,133.74,134.94,131.91,132.12,3200657.0
2016-05-16,131.64,134.41,131.55,134.14,2535710.0
2016-05-17,133.62,134.49,131.96,132.56,3303196.0
2016-05-18,132.45,133.18,130.34,130.99,2926862.0
2016-05-19,130.24,130.43,127.08,128.08,4015790.0
2016-05-20,129.13,129.25,127.21,127.39,2676873.0
2016-05-23,127.4,128.41,125.88,127.58,3142046.0
2016-05-24,127.76,128.81,126.32,127.5,4366308.0
