date,open,high,low,close,volume
2016-03-28,13.73,13.74,13.54,13.62,48079111.0
2016-03-29,13.54,13.54,13.26,13.42,93992067.0
2016-03-30,13.49,13.66,13.46,13.48,78627399.0
2016-03-31,13.49,13.71,13.45,13.52,69197020.0
2016-04-01,13.47,13.65,13.32,13.56,66129573.0
2016-04-04,13.54,13.65,13.41,13.51,54936480.0
2016-04-05,13.3,13.34,13.16,13.19,70564032.0
2016-04-06,13.2,13.3,13.11,13.27,57972909.0
2016-04-07,13.15,13.21,12.75,12.85,98413454.0
2016-04-08,13.01,13.14,12.86,12.88,70869241.0
2016-04-11,12.92,13.09,12.88,12.97,73268379.0
2016-04-12,13.0,13.33,12.93,13.27,91830089.0
2016-04-13,13.55,13.85,13.53,13.79,127368955.0
2016-04-14,13.71,14.28,13.7,14.14,168989253.0
2016-04-15,14.27,14.29,13.95,14.0,80588153.0
2016-04-18,13.85,14.24,13.82,14.17,71658376.0
2016-04-19,14.26,14.54,14.24,14.45,96410627.0
2016-04-20,14.56,14.94,14.53,14.93,103056350.0
2016-04-21,14.98,15.14,14.75,14.9,113658174.0
2016-04-22,14.87,15.14,14.86,15.11,76294205.0
2016-04-25,15.02,15.14,14.81,14.96,65080842.0
2016-04-26,15.02,15.14,14.8,15.09,72894491.0
2016-04-27,15.02,15.3,14.98,15.02,95551751.0
2016-04-28,14.92,15.08,14.76,14.79,72307135.0
2016-04-29,14.73,14.85,14.43,14.56,110023115.0
2016-05-02,14.58,14.78,14.4,14.77,64194247.0
2016-05-03,14.51,14.51,14.15,14.36,102055919.0
2016-05-04,14.09,14.27,14.0,14.13,92746174.0
2016-05-05,14.15,14.32,14.0,14.05,69841256.0
2016-05-06,13.83,14.14,13.8,14.11,70990338.0
2016-05-09,14.08,14.19,13.91,13.99,51465300.0
2016-05-10,14.08,14.33,14.05,14.3,55697519.0
2016-05-11,14.25,14.5,14.19,14.2,56188821.0
2016-05-12,14.3,14.47,14.05,14.14,68288051.0
2016-05-13,14.15,14.37,13.87,13.88,79414852.0
2016-05-16,13.82,14.02,13.8,13.93,53222676.0
2016-05-17,13.89,14.13,13.82,14.01,69644999.0
2016-05-18,14.02,14.75,14.01,14.69,142011234.0
2016-05-19,14.59,14.87,14.43,14.53,99803281.0
2016-05-20,14.63,14.7,14.43,14.52,72235864.0
2016-05-23,14.53,14.6,14.4,14.47,60656711.0
2016-05-24,14.6,14.75,14.53,14.68,87596797.0
2016-05-25,14.83,15.15,14.83,14.92,119086959.0
2016-05-26,14.98,14.99,14.69,14.7,60061254.0
2016-05-27,14.76,14.88,14.69,14.88,57194548.0
2016-05-31,15.03,15.05,14.73,14.79,74079013.0
2016-06-01,14.6,14.9,14.45,14.86,58265450.0
2016-06-02,14.95,14.98,14.77,14.94,59462829.0
2016-06-03,14.46,14.5,14.19,14.42,138261047.0
2016-06-06,14.44,14.7,14.37,14.52,76948891.0
2016-06-07,14.54,14.6,14.34,14.35,61438285.0
2016-06-08,14.35,14.46,14.3,14.43,50827430.0
2016-06-09,14.32,14.32,14.08,14.19,70246030.0
2016-06-10,13.98,14.0,13.75,13.83,82205082.0
2016-06-13,13.64,13.91,13.58,13.6,67497250.0
2016-06-14,13.56,13.73,13.17,13.26,79233436.0
2016-06-15,13.38,13.66,13.28,13.34,92189555.0
2016-06-16,13.23,13.33,13.02,13.31,84402343.0
2016-06-17,13.38,13.53,13.28,13.4,74943310.0
2016-06-20,13.74,13.85,13.51,13.54,79766468.0
2016-06-21,13.62,13.65,13.44,13.62,58887379.0
2016-06-22,13.6,13.78,13.59,13.61,71691193.0
2016-06-23,13.84,14.05,13.82,14.04,73180191.0
2016-06-24,13.05,13.44,12.97,13.0,207373255.0
2016-06-27,12.77,12.77,12.05,12.18,222370023.0
2016-06-28,12.57,12.72,12.35,12.7,138168252.0
2016-06-29,13.06,13.22,12.92,13.19,106720942.0
2016-06-30,13.37,13.38,13.07,13.27,110670733.0
2016-07-01,13.19,13.27,13.02,13.1,81776500.0
2016-07-05,12.93,12.94,12.63,12.74,90767960.0
2016-07-06,12.52,12.92,12.45,12.86,88309632.0
2016-07-07,12.87,13.11,12.84,13.01,91343033.0
2016-07-08,13.28,13.32,13.11,13.17,84409631.0
2016-07-11,13.29,13.4,13.2,13.21,61896315.0
2016-07-12,13.41,13.6,13.4,13.54,82445282.0
2016-07-13,13.5,13.58,13.32,13.44,68899344.0
2016-07-14,13.73,13.78,13.64,13.65,89839991.0
2016-07-15,13.78,13.79,13.52,13.66,70796043.0
2016-07-18,13.84,14.23,13.82,14.11,166399596.0
2016-07-19,14.06,14.37,14.03,14.26,90563700.0
2016-07-20,14.35,14.43,14.26,14.4,65640287.0
2016-07-21,14.43,14.47,14.26,14.27,56800874.0
2016-07-22,14.26,14.4,14.18,14.38,41766537.0
2016-07-25,14.31,14.39,14.28,14.37,41678364.0
2016-07-26,14.32,14.55,14.31,14.53,55126308.0
2016-07-27,14.57,14.7,14.45,14.63,91299111.0
2016-07-28,14.58,14.69,14.46,14.68,62213652.0
2016-07-29,14.56,14.7,14.48,14.49,55375274.0
2016-08-01,14.52,14.6,14.26,14.33,55834403.0
2016-08-02,14.28,14.45,14.09,14.13,69946723.0
2016-08-03,14.11,14.48,14.09,14.48,59367979.0
2016-08-04,14.48,14.54,14.36,14.48,40979759.0
2016-08-05,14.75,15.06,14.75,15.05,107161115.0
2016-08-08,15.08,15.17,14.92,15.13,65450861.0
2016-08-09,15.11,15.19,15.07,15.19,46666331.0
2016-08-10,15.16,15.18,14.78,14.81,71989318.0
2016-08-11,14.83,14.97,14.74,14.88,64686079.0
2016-08-12,14.76,14.91,14.7,14.91,55427588.0
2016-08-15,14.97,15.03,14.94,15.02,44764508.0
2016-08-16,14.97,15.19,14.93,15.17,75411999.0
2016-08-17,15.16,15.24,15.08,15.15,89420195.0
2016-08-18,15.11,15.24,15.06,15.16,56254796.0
2016-08-19,15.13,15.25,15.05,15.22,54323006.0
2016-08-22,15.2,15.25,15.12,15.18,52456260.0
2016-08-23,15.27,15.41,15.26,15.35,56464194.0
2016-08-24,15.37,15.5,15.36,15.4,56267641.0
2016-08-25,15.42,15.54,15.4,15.53,62086249.0
2016-08-26,15.61,15.9,15.58,15.79,119879425.0
2016-08-29,15.81,16.01,15.77,15.84,109017826.0
2016-08-30,15.87,16.23,15.8,16.19,112268550.0
2016-08-31,16.21,16.24,15.88,16.14,114816493.0
2016-09-01,16.15,16.15,15.75,15.98,122321241.0
2016-09-02,15.94,16.06,15.82,16.0,86458296.0
2016-09-06,16.05,16.06,15.7,15.78,88811672.0
2016-09-07,15.72,15.85,15.65,15.7,58620007.0
2016-09-08,15.77,15.94,15.68,15.86,61134350.0
2016-09-09,15.91,16.15,15.74,15.74,116211959.0
