date,open,high,low,close,volume
2016-03-28,336.0,338.64,334.21,336.91,279443.0
2016-03-29,336.24,340.43,332.0,339.91,381302.0
2016-03-30,343.63,344.91,340.8,341.37,293222.0
2016-03-31,340.34,344.2,339.93,340.57,300652.0
2016-04-01,337.27,344.56,335.07,342.53,456105.0
2016-04-04,342.0,343.29,336.24,338.52,344368.0
2016-04-05,335.92,336.66,331.45,334.8,312841.0
2016-04-06,334.4,338.73,334.09,337.2,264785.0
2016-04-07,334.37,335.87,326.93,328.37,346057.0
2016-04-08,332.74,335.24,330.8,331.6,223425.0
2016-04-11,334.91,337.16,332.78,332.96,278784.0
2016-04-12,334.04,339.87,332.33,339.31,368236.0
2016-04-13,343.0,348.62,341.42,348.29,668375.0
2016-04-14,343.0,356.2,342.0,354.91,599273.0
2016-04-15,354.42,358.31,353.59,357.74,809474.0
2016-04-18,353.0,359.45,351.05,358.0,582516.0
2016-04-19,361.54,366.31,361.19,364.66,603382.0
2016-04-20,365.94,368.91,364.45,366.92,392375.0
2016-04-21,364.36,367.88,362.24,364.09,388452.0
2016-04-22,365.16,369.21,363.83,365.47,322167.0
2016-04-25,364.01,365.0,360.47,363.66,316623.0
2016-04-26,363.74,366.0,362.31,365.96,205113.0
2016-04-27,366.0,369.33,363.81,367.47,287197.0
2016-04-28,363.2,365.88,357.68,358.83,297772.0
2016-04-29,356.63,358.04,353.15,356.33,312255.0
2016-05-02,358.77,362.68,355.12,361.5,526606.0
2016-05-03,356.0,356.63,352.08,355.69,289903.0
2016-05-04,352.59,355.53,350.73,352.17,397617.0
2016-05-05,352.42,354.5,351.17,352.08,322357.0
2016-05-06,350.56,357.09,350.23,356.01,347563.0
2016-05-09,355.95,357.75,353.29,355.01,265439.0
2016-05-10,358.0,360.3,355.77,360.18,309727.0
2016-05-11,358.4,359.78,353.42,353.82,299736.0
2016-05-12,356.56,357.71,352.68,355.6,232395.0
2016-05-13,354.72,357.85,346.27,347.29,361893.0
2016-05-16,347.61,354.15,347.61,351.83,314050.0
2016-05-17,350.78,352.86,347.61,348.82,399599.0
2016-05-18,347.05,356.71,347.05,353.49,413798.0
2016-05-19,350.38,353.22,345.69,350.57,372503.0
2016-05-20,353.61,357.34,352.17,354.01,336509.0
2016-05-23,354.0,356.53,353.17,353.9,208587.0
2016-05-24,358.0,361.71,356.39,361.18,396159.0
2016-05-25,363.44,365.47,363.13,364.09,293749.0
2016-05-26,364.1,364.85,361.44,363.1,206493.0
2016-05-27,363.34,366.05,363.34,365.09,187617.0
2016-05-31,366.3,366.3,361.99,363.85,334433.0
2016-06-01,361.56,365.92,358.85,364.59,281790.0
2016-06-02,360.88,363.16,356.71,361.11,343564.0
2016-06-03,358.49,359.88,351.88,359.37,287901.0
2016-06-06,358.88,364.48,358.88,362.06,277693.0
