date,open,high,low,close,volume
2016-03-28,75.15,75.55,74.46,75.32,2703325.0
2016-03-29,74.97,76.05,74.19,76.01,3441822.0
2016-03-30,76.94,77.25,76.01,76.51,4137229.0
2016-03-31,76.3,77.13,76.24,76.54,3376816.0
2016-04-01,75.65,76.87,74.67,76.79,3938732.0
2016-04-04,76.69,77.04,75.42,75.72,3506840.0
2016-04-05,75.32,75.85,74.6,75.24,3768170.0
2016-04-06,75.52,75.57,73.7,75.22,4097410.0
2016-04-07,74.49,74.68,73.76,74.17,3890248.0
2016-04-08,75.03,75.25,74.0,74.35,3952167.0
2016-04-11,74.61,75.78,74.61,74.63,3332991.0
2016-04-12,75.06,76.74,74.47,76.1,4420194.0
2016-04-13,76.87,79.16,76.56,79.13,8416094.0
2016-04-14,79.44,79.72,78.37,79.05,4639762.0
2016-04-15,79.38,79.78,78.73,79.17,4557193.0
2016-04-18,78.47,79.87,78.14,79.25,3991946.0
2016-04-19,79.99,80.89,79.46,80.39,5529428.0
2016-04-20,80.25,80.6,79.3,79.74,4312853.0
2016-04-21,78.75,79.58,78.19,78.66,5666072.0
2016-04-22,78.9,79.18,77.2,78.32,8730969.0
2016-04-25,78.5,78.86,76.2,76.79,7020634.0
2016-04-26,77.15,77.74,76.47,77.65,5294780.0
2016-04-27,77.98,78.89,77.6,78.68,3810998.0
2016-04-28,78.03,79.17,77.59,77.75,4077618.0
2016-04-29,78.02,79.0,77.32,77.72,6098678.0
2016-05-02,77.39,78.07,76.62,77.84,2674333.0
2016-05-03,76.85,77.1,75.58,76.36,4167904.0
2016-05-04,76.18,76.31,73.9,74.24,6053749.0
2016-05-05,74.15,74.6,72.7,72.79,7177323.0
2016-05-06,72.16,73.42,71.62,73.36,6228121.0
2016-05-09,72.33,72.63,70.57,70.78,7342368.0
2016-05-10,70.78,72.71,70.59,72.51,5433212.0
2016-05-11,72.85,73.61,72.36,72.43,4010691.0
2016-05-12,72.92,73.24,71.18,71.7,3717695.0
2016-05-13,71.56,71.78,70.06,70.07,5631012.0
2016-05-16,70.36,71.7,70.1,70.7,3845520.0
2016-05-17,70.7,72.18,70.45,71.05,4060933.0
2016-05-18,70.62,71.87,70.08,70.59,4087238.0
