date,open,high,low,close,volume
2016-03-28,94.9,95.08,94.0,94.68,3871056.0
2016-03-29,93.79,95.39,92.94,95.32,5027660.0
2016-03-30,96.35,96.69,95.16,95.25,4905702.0
2016-03-31,95.19,96.2,94.95,95.4,4245321.0
2016-04-01,93.69,94.78,93.32,94.26,5389992.0
2016-04-04,94.3,94.48,93.03,93.43,5061723.0
2016-04-05,93.0,93.35,92.43,92.67,4378816.0
2016-04-06,93.15,95.0,92.82,94.84,5386897.0
2016-04-07,94.39,95.03,94.08,94.79,5569887.0
2016-04-08,96.25,96.87,95.76,96.33,5836725.0
2016-04-11,96.95,97.3,95.15,95.24,4848060.0
2016-04-12,95.69,97.94,95.43,97.51,7088722.0
2016-04-13,97.8,97.91,97.03,97.6,5238580.0
2016-04-14,97.77,98.27,97.36,97.98,4655018.0
2016-04-15,97.72,97.8,96.96,97.23,5059189.0
2016-04-18,95.76,98.76,95.52,98.7,6146616.0
2016-04-19,99.0,100.53,98.16,100.5,8834318.0
2016-04-20,99.95,102.54,99.84,101.69,8262742.0
2016-04-21,101.64,102.8,101.11,101.4,6803539.0
2016-04-22,101.74,102.5,101.5,102.01,4094489.0
2016-04-25,101.47,101.77,100.83,101.51,4964644.0
2016-04-26,102.05,102.98,101.71,102.29,4413113.0
2016-04-27,102.86,103.94,102.38,103.85,6850372.0
2016-04-28,103.13,104.26,102.05,102.4,5987115.0
2016-04-29,101.24,102.63,100.61,102.18,6683882.0
2016-05-02,101.83,103.85,101.8,103.31,5353107.0
2016-05-03,102.29,102.35,101.05,101.32,5391473.0
2016-05-04,101.06,102.3,100.39,100.59,5625245.0
2016-05-05,101.85,102.6,100.86,101.42,5415538.0
2016-05-06,100.84,102.7,100.84,101.86,4944929.0
2016-05-09,101.62,101.8,99.08,100.35,7934906.0
2016-05-10,100.64,101.29,100.41,101.27,5570293.0
2016-05-11,101.24,101.74,100.14,101.14,5666828.0
2016-05-12,102.15,102.42,101.08,102.12,5256089.0
2016-05-13,101.63,102.04,100.36,100.74,4250379.0
2016-05-16,101.87,102.6,101.4,102.29,4922790.0
2016-05-17,101.07,102.18,100.34,100.75,5128719.0
2016-05-18,100.9,101.27,99.44,100.06,4552542.0
2016-05-19,99.26,100.08,98.52,99.85,4769370.0
2016-05-20,100.3,100.4,99.49,99.79,3678849.0
2016-05-23,99.18,100.13,99.07,99.38,3050874.0
2016-05-24,99.94,100.76,99.62,100.19,3279948.0
2016-05-25,100.82,101.98,100.82,101.77,4252073.0
2016-05-26,101.97,102.37,100.97,101.5,3247607.0
2016-05-27,101.38,102.11,100.87,102.02,3625787.0
2016-05-31,102.15,102.28,100.57,101.0,4983554.0
2016-06-01,100.24,101.38,99.89,101.13,3449771.0
2016-06-02,100.4,100.57,99.72,100.53,5691172.0
2016-06-03,100.64,101.14,100.0,100.66,3682462.0
2016-06-06,101.34,102.04,100.92,101.17,4526626.0
2016-06-07,101.79,103.7,101.61,103.32,7850562.0
2016-06-08,103.55,104.08,102.67,103.09,4785162.0
2016-06-09,102.27,103.13,102.03,102.81,3291544.0
2016-06-10,102.47,102.97,101.26,101.98,6374924.0
2016-06-13,101.5,103.11,101.38,102.1,4846591.0
2016-06-14,101.76,102.05,100.52,101.28,5674380.0
2016-06-15,100.63,101.64,100.25,100.63,4445401.0
2016-06-16,99.97,101.26,98.77,101.07,6151973.0
2016-06-17,101.44,101.74,100.4,101.57,6071934.0
2016-06-20,102.88,103.4,102.6,102.61,4707944.0
2016-06-21,102.69,103.45,102.27,103.24,3747425.0
2016-06-22,103.5,103.55,102.18,102.29,3814949.0
2016-06-23,103.32,104.45,103.07,104.44,4525278.0
2016-06-24,101.46,103.01,101.17,101.9,7991040.0
2016-06-27,101.25,101.4,99.52,100.36,6179101.0
2016-06-28,101.22,102.0,100.64,101.63,4820084.0
2016-06-29,102.52,104.68,102.3,103.42,7281694.0
2016-06-30,103.56,105.0,103.28,104.83,5450986.0
2016-07-01,104.78,104.88,103.77,104.15,4834888.0
2016-07-05,103.5,103.87,102.84,103.57,6039929.0
2016-07-06,103.26,104.6,102.46,104.58,5005389.0
2016-07-07,104.89,105.0,102.13,103.05,6367829.0
2016-07-08,103.88,104.97,103.0,104.77,7479379.0
2016-07-11,104.9,106.0,104.8,105.39,5923900.0
2016-07-12,106.3,107.3,106.18,106.78,6313942.0
2016-07-13,106.82,107.2,105.86,106.65,4749902.0
2016-07-14,107.11,107.58,106.43,106.7,3705763.0
2016-07-15,107.33,107.54,106.39,107.03,4396071.0
2016-07-18,106.67,106.75,106.02,106.09,3575317.0
2016-07-19,105.98,106.27,105.65,106.04,3152152.0
2016-07-20,105.93,106.13,105.0,105.59,5457679.0
2016-07-21,105.4,105.85,104.87,105.39,4558823.0
2016-07-22,105.68,106.0,105.2,105.66,4037516.0
2016-07-25,104.86,105.11,102.78,103.07,5786022.0
2016-07-26,102.57,103.16,102.08,102.68,4776569.0
2016-07-27,102.77,103.32,101.8,102.26,4363014.0
2016-07-28,102.09,102.22,100.98,101.79,7012607.0
