date,open,high,low,close,volume
2016-03-18,148.786,149.0731,147.9245,147.9724,7492743.861767866
2016-03-21,147.6374,149.3124,147.3503,148.786,4452705.596255824
2016-03-22,148.2595,149.5038,148.2117,148.6424,4187958.6674062368
2016-03-23,148.5467,149.5038,148.4031,148.6902,4885338.069320758
2016-03-24,147.9245,148.8817,147.4938,148.8817,4068222.6626684247
2016-03-28,149.0252,151.7052,148.786,150.7002,7021831.975110043
2016-03-29,150.5567,151.1309,149.6952,150.6524,7159579.10508607
2016-03-30,151.9445,152.9016,151.8488,152.3273,6199071.571087673
2016-03-31,152.6145,153.3802,151.9923,152.1359,6185515.4280419145
2016-04-01,150.7481,153.2366,150.5088,152.8059,7124769.437239229
2016-04-04,151.6574,151.7531,148.7381,149.456,8222035.52144102
2016-04-05,148.116,148.9774,147.3024,148.2595,5569328.70345857
2016-04-06,147.8288,150.7481,146.6324,147.8767,6420877.235841853
2016-04-07,147.0153,147.3024,146.0103,146.5846,5812102.247579635
2016-04-08,147.8767,148.7381,146.8717,147.3503,4500600.833982504
2016-04-11,147.5417,148.3553,146.9674,146.9674,4205006.078860605
2016-04-12,146.8238,148.0203,146.3453,147.446,5105987.570075366
2016-04-13,148.2117,148.8338,148.0681,148.2595,4251984.827286342
2016-04-14,148.3553,148.7381,147.6853,148.451,4052339.9824870746
2016-04-15,148.6902,148.8338,148.0203,148.4988,4277600.348019297
2016-04-18,147.8767,149.2645,147.8767,148.6424,3820044.8406653954
2016-04-19,148.9774,149.3602,148.4031,149.0731,4145151.3453176473
2016-04-20,149.3124,150.0302,148.5945,149.0731,4553371.477174212
2016-04-21,148.9295,149.6952,147.6374,148.2595,7383439.452762314
2016-04-22,148.786,149.2167,145.0531,147.2067,10388186.61145137
2016-04-25,147.5895,147.6853,145.4839,146.8238,6476664.60407636
2016-04-26,147.5895,148.2595,147.0631,147.8767,4480084.930529422
2016-04-27,148.0681,148.4031,147.446,148.0203,4190854.614789222
2016-04-28,147.111,149.4081,146.9196,147.8767,5317387.340917626
2016-04-29,147.1588,148.2117,146.441,147.1588,4654338.257452691
2016-05-02,146.7281,148.3074,146.5846,147.8288,3073906.3691112665
2016-05-03,146.6324,146.9674,145.2446,146.5846,5077061.738465634
2016-05-04,145.4839,145.5796,143.0432,143.9046,7379920.810870252
2016-05-05,144.2396,144.7182,142.6125,143.0432,5659300.955451952
2016-05-06,142.0382,144.7182,140.7461,144.1439,5138021.023409591
2016-05-09,143.8089,144.0003,141.7989,142.9475,4789630.341191421
2016-05-10,143.5217,146.2496,143.4739,145.8667,4966350.833909546
2016-05-11,145.9624,147.1588,145.1967,145.1967,3957007.542726296
2016-05-12,142.8039,144.5267,142.8039,144.0003,8886076.110089032
2016-05-13,143.426,144.096,141.3682,141.8468,6249719.411085518
2016-05-16,141.4161,144.1917,141.2725,143.3782,4277888.500948162
2016-05-17,143.0432,144.0003,141.5596,142.1818,5729125.278834697
2016-05-18,142.1339,142.8517,140.8418,141.7032,5084393.234957403
2016-05-19,140.3632,140.9375,139.0711,140.5068,6370864.6278264215
2016-05-20,141.3203,142.0382,140.8418,141.4639,5192844.468902363
2016-05-23,141.2725,141.9903,140.7461,141.1289,3481803.869987289
2016-05-24,142.2296,143.426,142.0382,142.8517,4187170.47824911
2016-05-25,143.5696,145.101,143.3782,144.0003,5137091.369761644
2016-05-26,144.0482,144.6703,143.5696,143.6653,3865046.4295458687
2016-05-27,144.1917,144.4789,143.761,144.1439,3416420.1107026623
2016-05-31,144.1917,145.1967,143.9046,144.6703,4232289.292505286
2016-06-01,143.761,144.2396,143.0432,144.096,3965264.931624011
2016-06-02,143.6175,143.8089,142.8517,143.8089,3343193.9528877796
2016-06-03,143.6653,143.8089,142.6603,143.2825,4089802.5796920503
2016-06-06,143.5696,144.6703,143.3303,144.1439,3283882.927771875
2016-06-07,144.2396,145.5317,144.1917,144.2396,3826356.8316169675
2016-06-08,144.6703,145.9624,144.3353,145.0531,5222631.415972467
2016-06-09,144.3353,145.1489,143.6653,144.7182,4792346.584789908
2016-06-10,143.6653,144.9096,143.2346,143.761,5434427.37097218
2016-06-13,143.4739,144.1917,142.5646,142.756,5696830.837097171
2016-06-14,142.7082,145.771,142.5646,145.6753,8209131.953882459
2016-06-15,145.7231,147.9245,145.7231,146.3931,7672884.577212357
2016-06-16,144.2396,147.111,143.9524,146.6324,5784837.631187071
2016-06-17,146.6803,147.0153,145.7231,146.441,6810546.295275151
2016-06-20,147.6374,149.8867,147.5417,147.5417,6585166.823746225
2016-06-21,147.9245,148.4031,147.7331,148.0681,5261194.594378552
2016-06-22,148.3074,148.8338,147.2546,147.3024,5000252.579728892
2016-06-23,148.6424,149.3602,148.2117,149.2645,5442013.169214804
2016-06-24,144.096,146.2017,142.3732,142.7082,11247611.39354292
2016-06-27,141.3682,141.751,139.5975,140.3154,10135131.712320201
2016-06-28,142.6603,143.5696,141.9903,143.2825,6637415.2811734425
2016-06-29,146.0103,146.5367,145.0053,146.2017,6661642.9036079785
2016-06-30,146.6803,150.7481,146.6803,150.6524,9321716.32300754
2016-07-01,149.9345,151.3702,149.8867,150.7002,5873681.092664335
2016-07-05,149.5517,150.8916,148.9295,150.5088,5602295.780640633
2016-07-06,149.7431,152.1838,149.5995,151.8966,5922261.294351
2016-07-07,152.2316,153.6195,151.8966,152.2795,6883932.096917192
2016-07-08,153.093,154.433,153.093,154.098,6568831.540777405
2016-07-11,154.3852,155.5337,154.0023,154.1459,7042207.876777528
2016-07-12,154.4809,155.4859,153.763,154.3852,7009261.69538436
2016-07-13,154.3852,155.438,154.3373,154.8637,6174122.208104697
2016-07-14,155.5337,156.5866,155.4859,156.1559,6235332.242515397
2016-07-15,156.778,157.6873,156.6823,157.3523,6603940.854237003
2016-07-18,157.4001,157.6394,156.2994,157.4958,4361090.72629739
2016-07-19,156.7301,157.6873,156.5866,157.5916,5277267.426238849
2016-07-20,157.7351,157.9266,156.4909,156.8737,6868591.871415562
2016-07-21,156.6344,157.2087,155.4859,155.9644,8087959.154700213
2016-07-22,151.8488,153.4759,151.6574,153.428,10311720.979484065
2016-07-25,153.4759,153.5238,150.1738,151.4181,8369362.116878161
2016-07-26,151.5138,151.8488,149.8388,150.6045,7184563.57299439
2016-07-27,150.7002,151.0352,148.9295,149.6952,7095058.968756482
2016-07-28,149.3124,149.8388,148.7381,149.5517,5316955.216003274
2016-07-29,149.6952,150.4131,148.8817,149.0252,6648388.495753866
2016-08-01,148.9295,149.4081,148.451,149.0731,5909467.01176836
2016-08-02,148.8817,149.121,148.3553,148.5945,4915869.533349196
2016-08-03,148.4988,149.5038,148.451,148.9774,3514471.719472373
2016-08-04,149.3602,149.5517,148.786,149.1688,3638227.029204176
2016-08-05,149.5995,150.5088,149.4081,149.6952,3729356.6989444634
2016-08-08,149.7909,150.2695,149.3602,149.6474,3329451.6283629644
2016-08-09,149.456,150.0302,149.0731,149.7909,3408026.4812613507
2016-08-10,149.5517,149.9824,149.3124,149.6474,3522847.1695773457
2016-08-11,149.8388,150.1259,149.3124,149.7431,3343398.7316189525
2016-08-12,149.3124,149.6952,149.1688,149.5038,4059655.598179283
2016-08-15,149.6952,150.0302,149.4081,149.5038,3315474.2262130785
2016-08-16,149.0252,149.7431,148.7381,149.2645,3682559.5349242254
2016-08-17,149.5517,149.9345,149.2167,149.7431,3018204.6736112293
2016-08-18,149.5517,150.4131,149.2645,150.4131,4616409.8931132415
2016-08-19,149.8867,150.2695,149.2167,149.5517,4134114.8164968714
2016-08-22,149.1688,150.4131,148.7381,149.8867,3788908.4435484405
2016-08-23,150.4131,151.0831,149.456,149.456,5612770.630655906
2016-08-24,149.6474,150.0302,149.1688,149.4081,3978823.7911223266
2016-08-25,149.2645,149.7909,148.9774,149.3602,2790009.4945286764
2016-08-26,149.4081,150.5567,149.0252,149.456,4190972.8849543687
2016-08-29,149.2167,150.5088,149.1688,150.0781,3426081.9055720232
2016-08-30,149.9824,150.6045,149.7909,150.1259,3191910.5308654443
2016-08-31,149.7431,150.0302,149.2645,149.5038,5072023.972720891
2016-09-01,149.0731,149.7431,148.1638,149.3124,7286702.1891141115
2016-09-02,149.5517,150.5088,149.456,149.7431,3429306.9616301083
2016-09-06,149.8388,149.9824,147.3981,148.5945,5605338.416461662
2016-09-07,148.3074,148.6424,147.3981,148.6424,5190900.533661444
2016-09-08,148.3553,148.5945,147.8767,148.5467,5481488.030890387
2016-09-09,147.4938,147.4938,144.096,144.096,7379521.074428687
2016-09-12,143.5696,146.2974,142.8039,145.9146,7315197.149556825
2016-09-13,144.6224,144.8139,142.2296,142.8517,8215006.178056676
2016-09-14,142.6603,143.5696,141.9903,142.1339,7905068.553437114
2016-09-15,141.4161,142.8517,140.7939,142.3732,6295392.799578972
2016-09-16,141.7989,142.3732,141.3682,142.0382,6551971.146633648
2016-09-19,142.5168,143.3782,140.6982,140.8418,5317769.9428122975
2016-09-20,141.9903,142.6125,141.751,141.9903,5500416.899176878
2016-09-21,142.3732,143.1867,141.6075,142.8517,5036469.578957825
2016-09-22,143.3782,144.096,143.2346,143.761,5015747.6430262355
2016-09-23,143.6653,143.8089,142.6603,143.0432,4067299.068799257
2016-09-26,142.6125,142.6603,141.2725,141.3682,4272916.34798055
2016-09-27,141.6553,143.426,141.0332,142.9953,4652157.363965699
2016-09-28,143.1867,143.2825,141.6553,143.091,5069802.3324455535
2016-09-29,142.6603,144.0482,140.8896,141.3203,7018873.131402483
2016-09-30,141.6553,142.8517,141.5118,141.751,5636606.457048657
2016-10-03,140.9853,142.1339,140.6982,141.8468,3624331.9564625365
2016-10-04,142.1818,142.3732,140.9375,141.1768,5845252.789788198
2016-10-05,141.2725,142.1339,140.6982,141.1768,4545724.245312237
2016-10-06,140.6982,141.1768,139.4539,140.0761,5334357.646910972
2016-10-07,139.0711,139.7889,138.4011,139.1668,6941811.760493776
2016-10-10,138.7839,140.2675,137.8747,138.114,5730145.829164338
2016-10-11,137.6354,138.9275,137.3004,138.4011,5664993.80417856
2016-10-12,138.4011,138.8797,137.8747,138.3054,4139413.3616870265
2016-10-13,137.7311,138.3054,137.1568,137.6832,5110858.587424725
2016-10-14,138.5925,138.9275,137.9225,138.2575,4230231.4752148865
2016-10-17,138.3054,138.7361,137.3482,138.0661,5330959.155805057
2016-10-18,138.9275,139.1668,138.3054,138.6882,4801555.149998132
2016-10-19,139.0711,139.8368,138.9275,139.0711,4968095.214366517
2016-10-20,139.7889,139.7889,138.5925,139.1189,5320070.778127547
2016-10-21,136.104,138.7839,135.5776,138.6882,11967345.31937541
2016-10-24,138.7839,139.7889,138.3054,138.4011,5372116.964318259
2016-10-25,138.4968,138.8318,136.9654,137.109,4720592.117386914
2016-10-26,136.8218,139.1189,136.6304,138.1618,4457817.542051145
2016-10-27,138.2575,138.5925,136.9175,137.0133,4781608.656792444
2016-10-28,138.2097,141.6075,138.1618,139.8368,11602664.280134546
2016-10-31,141.0811,141.8946,139.2147,139.2625,6668127.702733713
2016-11-01,138.7839,139.7411,137.3961,138.2097,5878469.362689669
2016-11-02,138.0661,138.114,135.9126,136.3433,5504158.081220674
2016-11-03,136.8697,136.8697,134.9076,135.3383,4093722.4207309
2016-11-04,135.2426,137.8747,135.0511,136.104,6193702.607088941
2016-11-07,138.0661,140.3632,137.9704,140.2675,7354167.795846366
2016-11-08,140.5546,141.751,140.1718,140.7939,6544577.798606751
2016-11-09,140.3154,142.6603,139.1189,141.7989,10189473.718836827
2016-11-10,142.8517,147.5895,142.756,145.5317,14344913.732690692
2016-11-11,145.9146,147.2546,145.3403,146.9674,7362847.279679765
2016-11-14,147.111,147.6853,145.8667,146.0103,6744339.659823831
2016-11-15,145.8667,147.2546,144.7182,147.1588,6889428.734186074
2016-11-16,146.6803,147.3024,146.1539,147.111,4682700.111720142
2016-11-17,146.8238,147.7331,146.7281,147.3503,3072664.7413351135
2016-11-18,147.1588,147.8767,146.0581,146.776,4766296.849563711
2016-11-21,146.8717,147.781,146.3453,147.7331,3643137.9575103247
2016-11-22,148.0203,149.5038,147.7331,149.2167,4881646.410296643
2016-11-23,149.5038,150.1738,149.2167,149.9824,4372697.919112894
2016-11-25,150.5088,150.7002,149.7431,150.4609,1976554.612175004
2016-11-28,149.9345,150.4131,149.3602,149.5517,3389247.8536970154
2016-11-29,149.6952,150.0302,148.2595,148.5945,4546201.296172714
2016-11-30,149.2167,149.6474,147.1588,147.2067,6306777.8701585205
2016-12-01,146.6324,150.5567,146.5367,150.2217,8302600.698231674
2016-12-02,150.0781,150.7002,149.5995,149.9824,3617061.266716453
2016-12-05,150.4131,150.5088,148.6424,148.8817,3748610.0788324974
2016-12-06,149.2645,149.5038,148.4031,149.1688,3162757.3530725325
2016-12-07,148.4031,151.2266,148.0203,151.2266,5773530.710857991
2016-12-08,151.2266,151.7052,150.2695,150.8916,4697629.734969982
2016-12-09,150.5088,152.7581,150.0302,152.0881,5515902.35041133
2016-12-12,151.5616,153.093,151.5138,152.4709,5176271.391855916
2016-12-13,152.6623,153.1409,151.2745,151.8966,6061103.572623024
2016-12-14,151.2745,153.0452,150.4609,150.7481,8008669.038947944
2016-12-15,150.7002,152.9016,148.9774,149.5995,8066618.285501548
2016-12-16,150.8438,152.5188,150.5567,151.9445,9440982.17249521
2016-12-19,151.9923,153.1409,151.7052,152.7581,5142767.083941357
2016-12-20,152.7581,154.9595,152.7102,154.3373,7242991.959987361
2016-12-21,154.098,154.2895,153.3802,153.763,4867385.870207227
2016-12-22,152.7581,152.9016,152.0881,152.2795,3340109.1075731814
2016-12-23,152.5188,152.8538,152.0402,152.5666,2627137.4769429537
2016-12-27,152.6145,153.3802,152.4231,152.6623,5168681.205497624
2016-12-28,152.3752,152.9973,151.5616,151.7052,3325819.1044214233
2016-12-29,151.8966,152.5666,151.7052,151.7531,3068813.647441729
2016-12-30,151.3702,152.1838,150.7959,151.2266,3771806.2851271667
2017-01-03,151.5616,152.3752,150.2695,151.6574,5853856.003992128
2017-01-04,151.9445,152.3273,151.3224,151.7052,3658324.598963576
2017-01-05,151.0831,151.9445,149.8388,150.8438,4737283.04668273
2017-01-06,151.0352,152.0402,150.0781,151.2745,3709213.1584494933
2017-01-09,151.4181,151.5138,150.4131,150.5567,3414234.4111842248
2017-01-10,150.5567,151.3224,150.1259,150.1259,4278127.339815234
2017-01-11,149.5038,150.8438,149.5038,150.6045,4912129.396094845
2017-01-12,150.5088,150.6045,148.9774,150.2217,5269127.4716747245
2017-01-13,150.0781,150.5088,149.5517,150.0781,3963472.281894692
2017-01-17,149.1688,150.5088,149.121,149.6474,5192030.368967007
