date,open,high,low,close,volume
2016-03-28,153.14,154.64,152.38,153.84,1860358.0
2016-03-29,152.87,155.35,151.5,155.03,2310718.0
2016-03-30,156.13,158.03,154.89,156.5,2579356.0
2016-03-31,156.18,157.48,156.06,156.98,2293850.0
2016-04-01,156.46,160.01,155.08,159.82,2689803.0
2016-04-04,159.85,160.0,157.39,157.77,2019379.0
2016-04-05,156.44,156.53,154.55,155.35,2319397.0
2016-04-06,155.26,156.27,153.92,155.19,2358106.0
2016-04-07,153.65,154.03,149.37,150.41,3828513.0
2016-04-08,152.07,152.87,150.01,150.28,2676136.0
2016-04-11,151.18,153.9,150.41,152.2,2868956.0
2016-04-12,152.67,155.09,151.3,154.31,2217116.0
2016-04-13,156.53,159.99,156.38,159.85,3781315.0
2016-04-14,159.53,162.28,159.15,160.91,2505326.0
2016-04-15,161.23,161.78,158.2,158.52,2764073.0
2016-04-18,157.61,160.0,157.15,159.02,2523119.0
2016-04-19,157.75,163.7,157.0,162.65,4869377.0
2016-04-20,162.02,167.45,161.94,166.98,3975912.0
2016-04-21,166.55,168.9,165.01,165.32,3409136.0
2016-04-22,165.79,167.49,165.66,166.75,2081759.0
2016-04-25,166.0,167.39,164.06,165.09,1965791.0
2016-04-26,165.38,166.0,164.22,165.84,1678560.0
2016-04-27,165.83,168.66,164.93,166.92,2724331.0
2016-04-28,165.35,167.32,164.01,164.29,1872246.0
2016-04-29,163.8,164.68,162.56,164.11,2115647.0
2016-05-02,165.08,167.19,163.99,166.18,1513819.0
2016-05-03,163.66,164.11,161.37,163.14,2264723.0
2016-05-04,161.2,162.6,159.09,160.07,2596477.0
2016-05-05,160.57,160.82,158.5,159.53,1941747.0
2016-05-06,158.19,160.17,157.01,158.85,1854059.0
2016-05-09,158.2,159.85,156.79,157.51,1606909.0
2016-05-10,158.51,161.5,158.39,161.42,1913882.0
2016-05-11,161.36,162.53,159.28,159.42,1678820.0
2016-05-12,160.32,161.47,157.31,158.07,1858470.0
2016-05-13,157.88,159.72,155.26,155.34,1992753.0
2016-05-16,155.34,156.9,154.6,155.38,2498648.0
2016-05-17,154.79,157.11,153.77,154.65,2032183.0
2016-05-18,154.81,160.0,154.65,159.94,2879143.0
2016-05-19,158.68,159.95,154.52,154.7,3400991.0
2016-05-20,155.76,156.41,153.92,154.51,2569080.0
2016-05-23,154.44,156.09,153.74,155.45,2031151.0
2016-05-24,156.67,158.55,156.44,157.59,2508654.0
2016-05-25,158.06,162.29,158.03,161.25,2647452.0
2016-05-26,161.16,161.34,159.17,159.22,1760728.0
2016-05-27,158.7,160.4,158.32,159.53,1704046.0
2016-05-31,160.4,161.65,158.55,159.48,1962240.0
2016-06-01,157.9,160.55,156.0,159.97,2035054.0
2016-06-02,160.14,160.33,158.46,159.28,1639656.0
2016-06-03,155.86,156.54,153.86,155.67,3562503.0
2016-06-06,156.25,157.91,155.77,157.06,1863793.0
2016-06-07,157.2,157.47,155.17,155.17,1872471.0
2016-06-08,155.31,156.58,153.91,154.64,1952266.0
2016-06-09,153.79,154.29,152.46,153.17,2247825.0
2016-06-10,151.35,151.66,149.57,149.89,3328077.0
2016-06-13,149.0,151.32,148.59,148.63,2683243.0
2016-06-14,148.22,149.05,145.45,146.19,3910596.0
2016-06-15,147.16,148.7,145.9,146.16,2289919.0
2016-06-16,145.0,146.99,143.53,146.63,2803521.0
2016-06-17,146.63,148.23,145.46,145.64,3039937.0
2016-06-20,148.5,150.5,147.58,147.75,2681001.0
2016-06-21,148.5,148.83,147.12,148.35,1946481.0
2016-06-22,148.01,150.12,147.99,148.14,1988481.0
2016-06-23,150.56,152.8,150.14,152.66,2222022.0
2016-06-24,143.03,146.42,140.92,141.86,6507089.0
2016-06-27,140.07,141.23,138.2,139.51,6070257.0
2016-06-28,142.26,142.62,139.82,142.41,4046520.0
2016-06-29,143.6,145.55,142.93,145.5,3013184.0
2016-06-30,146.67,148.88,145.37,148.58,3555257.0
2016-07-01,148.49,150.7,148.07,148.25,2281652.0
2016-07-05,146.72,146.72,143.33,144.45,2939557.0
2016-07-06,142.94,145.94,142.62,145.58,2435386.0
2016-07-07,146.0,148.09,145.36,147.0,2063622.0
2016-07-08,149.31,150.92,148.31,150.38,2658787.0
2016-07-11,151.49,152.98,151.38,152.19,2246127.0
2016-07-12,154.0,157.25,153.92,156.92,4064636.0
2016-07-13,157.0,158.27,156.15,157.92,3578744.0
2016-07-14,160.29,163.24,160.01,162.54,3892560.0
2016-07-15,162.86,163.14,160.7,161.64,2420382.0
2016-07-18,162.36,164.09,162.01,163.33,3547709.0
2016-07-19,162.01,164.08,160.73,161.41,4573786.0
2016-07-20,162.55,162.89,159.22,161.77,3087067.0
2016-07-21,161.71,161.9,159.77,160.05,2369798.0
2016-07-22,160.29,160.73,159.86,160.41,1420127.0
2016-07-25,159.64,161.33,159.61,160.51,1555415.0
2016-07-26,160.68,161.5,159.42,161.16,1464167.0
2016-07-27,161.2,162.17,160.41,160.99,1724781.0
