date,open,high,low,close,volume
2016-03-21,131.53,132.13,130.27,131.01,2961148.0
2016-03-22,130.61,131.22,129.92,130.59,2649909.0
2016-03-23,130.59,131.18,129.95,130.22,2758984.0
2016-03-24,129.54,130.76,129.46,130.46,2461671.0
2016-03-28,130.6,131.81,130.49,131.08,1866581.0
2016-03-29,131.0,132.9,130.71,132.47,2489781.0
2016-03-30,133.11,133.93,132.84,133.42,2249796.0
2016-03-31,133.56,134.29,133.0,133.43,2160481.0
2016-04-01,133.1,135.2,133.1,134.85,3079970.0
2016-04-04,136.1,136.23,134.35,134.85,2427394.0
2016-04-05,134.2,135.7,133.9,134.58,3181058.0
2016-04-06,134.25,135.75,133.82,135.44,2545224.0
2016-04-07,134.73,135.24,133.12,133.87,2963838.0
2016-04-08,134.62,134.62,133.06,133.62,2277667.0
2016-04-11,133.58,135.08,132.96,133.01,2457812.0
2016-04-12,133.3,134.72,133.11,134.38,3297073.0
2016-04-13,134.86,134.86,133.22,133.84,3092951.0
2016-04-14,133.5,134.72,132.88,134.37,3116690.0
2016-04-15,134.41,135.28,133.97,135.01,2674640.0
2016-04-18,134.81,136.8,134.74,136.8,3079177.0
2016-04-19,136.85,137.0,134.85,135.44,2749932.0
2016-04-20,135.75,136.08,134.48,135.19,3735783.0
2016-04-21,135.23,135.49,134.39,134.6,2699995.0
2016-04-22,134.85,135.68,133.41,135.66,3023520.0
2016-04-25,135.18,135.73,134.28,135.65,2118094.0
2016-04-26,135.09,136.24,134.88,135.34,2631217.0
2016-04-27,135.37,136.28,134.76,135.75,2688043.0
2016-04-28,135.05,135.44,132.49,132.73,4311927.0
2016-04-29,132.71,134.3,131.75,133.89,3200111.0
2016-05-02,134.37,136.25,134.31,136.05,3502889.0
2016-05-03,135.45,135.84,134.04,134.54,2569167.0
2016-05-04,133.59,135.4,133.13,135.16,2384956.0
2016-05-05,134.87,135.37,133.75,134.67,2737490.0
2016-05-06,134.48,135.81,134.31,135.7,2588903.0
2016-05-09,135.59,136.47,135.24,136.24,2830040.0
2016-05-10,136.32,137.82,136.3,137.51,2988753.0
2016-05-11,136.8,137.05,134.04,134.3,4774220.0
2016-05-12,135.0,135.0,133.1,134.19,4479470.0
2016-05-13,133.81,135.33,133.03,133.13,4270467.0
2016-05-16,133.84,136.55,133.08,135.34,6717703.0
2016-05-17,133.2,134.49,131.1,132.0,12957239.0
2016-05-18,131.03,132.78,130.02,131.77,7081540.0
2016-05-19,131.45,132.13,130.78,131.73,3955257.0
2016-05-20,131.89,133.06,131.74,131.85,4174821.0
2016-05-23,131.84,132.48,131.3,131.42,3055422.0
2016-05-24,132.18,133.88,132.05,133.36,4090520.0
2016-05-25,133.46,134.52,133.05,133.2,4071110.0
2016-05-26,133.09,134.36,132.86,134.05,3262528.0
2016-05-27,134.14,134.9,133.38,133.94,3250921.0
2016-05-31,133.57,133.8,131.72,132.12,3812139.0
2016-06-01,131.58,132.12,131.15,131.83,3858018.0
2016-06-02,131.85,132.7,131.33,132.41,3023664.0
2016-06-03,132.53,132.73,130.92,131.74,3371378.0
2016-06-06,130.59,130.87,128.47,129.19,6792142.0
2016-06-07,129.38,130.8,129.32,129.92,3427149.0
2016-06-08,130.01,130.3,129.25,129.59,2916537.0
2016-06-09,129.27,129.84,129.04,129.3,2816645.0
2016-06-10,128.45,129.23,128.21,128.83,3077478.0
2016-06-13,128.94,129.45,127.78,127.83,3885309.0
2016-06-14,127.31,127.44,124.71,125.24,5985910.0
2016-06-15,125.74,127.75,125.49,126.53,4009655.0
2016-06-16,126.13,127.54,125.66,127.36,3597603.0
2016-06-17,127.52,127.78,126.73,127.14,4202248.0
2016-06-20,128.13,128.85,127.42,127.62,3048570.0
2016-06-21,127.96,128.32,127.28,127.74,2545514.0
2016-06-22,127.69,128.97,127.4,127.6,2556046.0
2016-06-23,128.98,129.1,127.45,128.29,3834652.0
2016-06-24,126.1,127.8,125.5,126.4,6014945.0
2016-06-27,125.34,125.75,123.62,124.67,4122033.0
2016-06-28,125.89,127.53,125.6,127.53,4076529.0
