date,open,high,low,close,volume
2016-03-21,107.41,107.75,106.55,107.28,6202530.0
2016-03-22,107.28,107.63,107.05,107.38,5700006.0
2016-03-23,107.29,108.83,107.2,108.5,6396832.0
2016-03-24,108.22,108.61,107.75,108.31,4600235.0
2016-03-28,108.41,108.9,108.06,108.23,3245587.0
2016-03-29,108.3,109.25,107.74,109.14,5063764.0
2016-03-30,109.45,109.56,108.93,108.98,3989182.0
2016-03-31,108.86,108.98,108.04,108.2,5180126.0
2016-04-01,108.0,109.29,107.69,109.19,6991801.0
2016-04-04,108.82,109.1,108.26,108.59,7428402.0
2016-04-05,108.23,109.84,108.0,108.95,6556751.0
2016-04-06,108.72,109.5,107.88,109.42,5331361.0
2016-04-07,109.0,109.62,108.63,109.27,6452668.0
2016-04-08,109.37,109.64,108.76,109.1,4815070.0
2016-04-11,109.15,109.62,108.65,108.97,4861238.0
2016-04-12,109.0,110.24,108.75,109.6,5788613.0
2016-04-13,110.0,110.35,109.31,109.87,3722338.0
2016-04-14,110.0,110.29,109.45,109.84,3506509.0
2016-04-15,110.07,110.4,109.5,110.18,5983953.0
2016-04-18,110.0,111.1,109.67,110.93,5417758.0
2016-04-19,111.65,113.95,111.48,112.68,8383429.0
2016-04-20,113.17,114.19,113.05,113.58,6273239.0
2016-04-21,113.31,113.73,112.77,113.57,5749118.0
2016-04-22,113.4,113.76,112.82,113.32,5475018.0
2016-04-25,113.31,113.55,112.48,113.51,4062791.0
2016-04-26,113.45,113.55,112.65,112.91,4389606.0
2016-04-27,112.96,113.2,112.46,112.77,4440956.0
2016-04-28,112.39,112.71,111.64,112.48,5188755.0
2016-04-29,112.06,112.22,111.51,112.08,4705981.0
2016-05-02,112.22,112.79,111.93,112.75,4020981.0
2016-05-03,112.56,113.1,112.12,112.69,5659598.0
2016-05-04,112.04,112.54,111.7,112.22,3866357.0
2016-05-05,112.08,113.1,112.04,112.88,3871298.0
2016-05-06,112.58,113.05,112.27,112.74,5001688.0
2016-05-09,112.97,113.99,112.73,113.72,4786344.0
2016-05-10,114.0,115.0,113.92,114.67,5886638.0
2016-05-11,114.57,114.76,114.31,114.37,4599398.0
2016-05-12,114.5,114.76,113.54,114.23,5629125.0
2016-05-13,113.9,114.09,113.36,113.56,5146698.0
2016-05-16,113.39,114.63,113.31,114.44,4402841.0
2016-05-17,114.54,114.56,113.24,113.83,7007456.0
2016-05-18,113.61,114.03,112.88,113.59,6643398.0
2016-05-19,112.99,113.04,112.2,112.85,7028064.0
2016-05-20,112.2,112.92,111.76,112.64,5242072.0
2016-05-23,112.77,112.82,112.04,112.16,4487410.0
2016-05-24,112.52,113.5,112.52,112.69,4747782.0
2016-05-25,113.18,113.73,112.85,113.35,4010898.0
2016-05-26,113.11,113.32,112.85,112.9,2936752.0
2016-05-27,113.04,113.34,112.69,113.06,3337088.0
2016-05-31,113.26,113.63,112.32,112.69,4783501.0
2016-06-01,112.57,113.06,112.07,112.78,3488391.0
2016-06-02,112.87,114.65,112.86,114.49,5544669.0
2016-06-03,114.47,115.39,114.11,114.76,5515652.0
2016-06-06,114.97,116.0,114.93,115.77,5094396.0
2016-06-07,116.01,116.23,115.45,115.73,4800680.0
2016-06-08,115.52,115.95,115.41,115.8,3699819.0
2016-06-09,115.73,117.19,115.61,117.0,5969731.0
2016-06-10,116.74,117.23,116.36,117.01,4823778.0
2016-06-13,117.13,117.64,116.79,116.79,5897341.0
2016-06-14,116.45,117.18,116.3,117.12,5239517.0
2016-06-15,117.64,117.74,116.33,116.41,4939756.0
2016-06-16,115.69,116.89,115.22,116.64,5437720.0
2016-06-17,116.62,116.67,115.01,115.48,7243912.0
2016-06-20,116.6,117.14,116.42,116.54,4338096.0
2016-06-21,116.99,117.15,116.18,116.18,4039623.0
2016-06-22,116.4,117.21,116.31,116.46,4354894.0
2016-06-23,117.2,117.38,116.68,117.38,5279863.0
2016-06-24,115.07,117.12,115.0,115.63,8964189.0
2016-06-27,115.0,116.64,115.0,116.55,8072981.0
2016-06-28,117.17,118.37,116.55,118.23,7813846.0
2016-06-29,118.84,119.41,118.1,119.33,6282613.0
2016-06-30,119.18,121.41,119.16,121.3,7879429.0
2016-07-01,121.54,121.54,120.79,121.29,5390831.0
2016-07-05,121.36,123.23,121.34,122.27,7224699.0
2016-07-06,121.93,122.66,121.54,122.64,6438841.0
2016-07-07,122.29,122.81,122.01,122.51,4868264.0
2016-07-08,123.0,123.1,121.96,122.85,4544050.0
2016-07-11,122.71,123.45,122.41,122.93,4330968.0
2016-07-12,122.65,123.2,122.61,122.92,4641742.0
2016-07-13,122.68,123.4,122.3,123.0,3840450.0
2016-07-14,122.98,123.74,122.91,123.18,3976804.0
