date,open,high,low,close,volume
2016-03-21,123.66,124.5,123.05,123.81,3185282.0
2016-03-22,123.79,124.39,123.56,123.82,2636103.0
2016-03-23,124.1,125.0,123.86,124.19,3285457.0
2016-03-24,123.69,124.0,122.66,123.29,3515934.0
2016-03-28,124.0,124.2,123.12,123.17,3522899.0
2016-03-29,123.43,124.57,123.34,123.97,5811303.0
2016-03-30,124.9,126.1,124.6,125.83,3792095.0
2016-03-31,126.15,126.96,125.61,125.68,4478654.0
2016-04-01,125.19,127.39,124.87,127.02,4177692.0
2016-04-04,127.05,127.87,126.88,127.57,3062812.0
2016-04-05,126.84,127.78,126.39,127.38,4385499.0
2016-04-06,127.47,127.69,126.84,127.52,4839473.0
2016-04-07,127.37,128.52,127.02,128.14,3894630.0
2016-04-08,128.28,128.74,127.28,127.96,3053307.0
2016-04-11,128.35,128.69,127.45,127.56,3737404.0
2016-04-12,128.0,128.28,126.89,127.61,3878622.0
2016-04-13,127.71,127.92,126.08,126.89,3998262.0
2016-04-14,127.13,128.09,127.04,127.51,3178657.0
2016-04-15,127.08,128.04,126.96,127.78,2426728.0
2016-04-18,127.95,128.91,127.68,128.85,2785070.0
2016-04-19,128.91,129.35,128.12,128.86,3229646.0
2016-04-20,129.31,129.8,128.51,128.55,3887988.0
2016-04-21,128.55,128.75,125.6,125.79,6731378.0
2016-04-22,128.17,128.4,125.36,125.5,7539761.0
2016-04-25,125.07,127.53,125.01,127.46,5894346.0
2016-04-26,127.42,128.34,127.03,127.71,3349019.0
2016-04-27,127.94,128.56,127.78,128.3,3751786.0
2016-04-28,127.87,128.85,127.44,127.92,2703517.0
2016-04-29,127.93,127.93,126.1,126.49,4731154.0
2016-05-02,126.65,128.22,126.5,128.2,4075276.0
2016-05-03,127.4,128.99,127.38,128.4,3165241.0
2016-05-04,127.57,130.43,127.57,129.33,4854693.0
2016-05-05,129.31,129.98,129.0,129.28,2799891.0
2016-05-06,129.38,130.58,128.59,130.58,3369280.0
2016-05-09,130.65,131.5,130.35,130.83,3666893.0
2016-05-10,130.85,131.96,130.85,131.6,3355711.0
2016-05-11,131.24,131.62,129.14,129.14,4731479.0
2016-05-12,129.74,130.54,129.16,130.12,3542775.0
