date,open,high,low,close,volume
2016-03-28,113.32,114.59,112.95,113.69,18986397.0
2016-03-29,113.84,116.32,113.64,116.14,27016701.0
2016-03-30,116.73,116.99,114.35,114.7,30280902.0
2016-03-31,114.53,115.01,113.76,114.1,17957414.0
2016-04-01,113.75,116.17,113.35,116.06,21332901.0
2016-04-04,114.09,114.55,111.61,112.55,43554447.0
2016-04-05,112.11,113.32,111.9,112.22,20453382.0
2016-04-06,112.47,113.81,112.42,113.71,18372138.0
2016-04-07,113.79,114.89,113.06,113.64,18064499.0
2016-04-08,114.25,114.33,109.9,110.63,45038684.0
2016-04-11,110.7,110.91,108.77,108.99,36622448.0
2016-04-12,109.34,111.17,108.99,110.61,24082425.0
2016-04-13,112.23,112.65,106.52,110.51,82641954.0
2016-04-14,110.62,112.04,110.26,110.84,25843198.0
2016-04-15,110.79,110.97,109.2,109.64,18045266.0
2016-04-18,109.71,110.81,109.2,110.45,18627430.0
2016-04-19,111.1,112.45,109.16,112.29,27389383.0
2016-04-20,112.43,113.27,111.56,112.42,18773177.0
2016-04-21,112.55,114.04,112.31,113.44,17923659.0
2016-04-22,111.21,111.75,109.01,110.56,33782609.0
2016-04-25,109.87,110.67,109.07,110.1,17903925.0
2016-04-26,110.49,110.5,108.15,108.76,19785543.0
2016-04-27,107.94,108.94,106.31,108.89,32290565.0
2016-04-28,119.58,120.79,116.23,116.73,73056168.0
2016-04-29,116.82,117.84,115.84,117.58,31781378.0
2016-05-02,117.92,118.73,116.57,118.57,25020025.0
2016-05-03,117.52,118.16,117.02,117.43,21280938.0
2016-05-04,116.61,118.3,116.57,118.06,20847836.0
2016-05-05,118.04,118.98,117.25,117.81,19603757.0
2016-05-06,117.16,119.64,117.11,119.49,22759019.0
2016-05-09,119.54,120.28,118.9,119.24,18234882.0
2016-05-10,119.63,120.5,119.0,120.5,20501217.0
2016-05-11,120.41,121.08,119.42,119.52,20111576.0
2016-05-12,119.98,120.84,118.9,120.28,19114285.0
2016-05-13,120.38,120.64,119.68,119.81,16009169.0
2016-05-16,119.38,119.61,117.35,118.67,27586924.0
2016-05-17,118.82,119.01,117.2,117.35,18212166.0
2016-05-18,116.8,118.27,116.73,117.65,18680640.0
2016-05-19,117.05,117.49,115.88,116.81,18803565.0
2016-05-20,116.96,117.99,116.95,117.35,15883592.0
2016-05-23,117.42,117.6,115.94,115.97,18178922.0
2016-05-24,116.24,117.73,116.12,117.7,17829874.0
2016-05-25,118.13,118.67,117.38,117.89,17670578.0
2016-05-26,118.24,119.77,117.92,119.47,15815435.0
2016-05-27,119.56,119.85,119.01,119.38,11742905.0
2016-05-31,119.46,120.1,118.12,118.81,16851582.0
2016-06-01,118.5,119.08,117.82,118.78,13284541.0
2016-06-02,118.69,119.44,118.22,118.93,11727608.0
2016-06-03,118.97,118.98,117.86,118.47,12403115.0
2016-06-06,118.62,119.43,118.36,118.79,10803825.0
2016-06-07,119.24,119.3,117.67,117.76,14707682.0
2016-06-08,117.69,118.6,117.27,118.39,12770399.0
2016-06-09,118.15,118.68,117.71,118.56,11682019.0
2016-06-10,117.54,118.11,116.26,116.62,16422421.0
2016-06-13,115.0,115.48,113.31,113.95,27532206.0
2016-06-14,114.13,114.95,113.58,114.94,15650876.0
2016-06-15,115.3,115.44,114.07,114.6,16764706.0
2016-06-16,113.87,114.5,112.94,114.39,17242742.0
2016-06-17,114.42,114.43,112.56,113.02,17990789.0
2016-06-20,113.77,114.72,112.75,113.37,17844449.0
2016-06-21,114.18,115.22,113.97,114.38,17051061.0
2016-06-22,114.65,114.74,113.61,113.91,12169668.0
2016-06-23,114.37,115.09,113.54,115.08,14147965.0
2016-06-24,111.03,113.68,111.0,112.08,30832341.0
2016-06-27,111.58,111.58,108.23,108.97,31932702.0
2016-06-28,110.68,112.75,110.55,112.7,22461698.0
2016-06-29,113.37,114.25,113.04,114.16,17843625.0
2016-06-30,114.67,115.18,113.67,114.28,19274211.0
2016-07-01,114.17,115.13,113.81,114.19,12941893.0
2016-07-05,113.94,114.11,112.97,114.0,12091518.0
2016-07-06,113.36,116.79,112.97,116.7,20027079.0
2016-07-07,116.68,116.97,115.36,115.85,14707771.0
2016-07-08,116.43,117.5,115.85,117.24,15571176.0
2016-07-11,117.71,118.7,117.5,117.87,15208072.0
2016-07-12,118.64,118.72,117.57,117.93,13304156.0
2016-07-13,118.39,118.4,116.68,116.78,14268272.0
2016-07-14,117.5,117.64,116.7,117.29,12764114.0
2016-07-15,117.74,118.28,116.58,116.86,14199835.0
2016-07-18,117.32,119.61,116.89,119.37,18464898.0
2016-07-19,118.99,120.85,118.66,120.61,18713665.0
2016-07-20,121.22,122.2,120.56,121.92,17408826.0
2016-07-21,121.92,122.1,120.25,120.61,15664096.0
2016-07-22,119.89,121.01,119.31,121.0,15360778.0
2016-07-25,121.4,121.85,117.78,121.63,15738452.0
2016-07-26,121.91,122.07,120.75,121.22,14694473.0
2016-07-27,122.51,125.0,121.51,123.34,35851768.0
2016-07-28,127.53,128.33,123.63,125.0,69724024.0
2016-07-29,124.63,125.84,123.71,123.94,30907753.0
2016-08-01,123.89,124.58,122.86,124.31,22216619.0
2016-08-02,123.97,124.8,122.07,123.09,21591673.0
2016-08-03,123.16,123.92,122.31,122.51,16360711.0
2016-08-04,122.89,124.79,122.51,124.36,18895715.0
2016-08-05,124.98,125.84,124.61,125.15,17561708.0
2016-08-08,125.25,125.45,124.55,125.26,10761793.0
2016-08-09,125.34,126.09,124.53,125.06,17481797.0
2016-08-10,125.07,125.48,124.54,124.88,9386071.0
2016-08-11,125.2,125.38,124.75,124.9,9708226.0
2016-08-12,124.7,125.0,124.18,124.88,10374003.0
2016-08-15,124.91,124.92,123.7,123.9,16687375.0
2016-08-16,123.5,123.92,122.78,123.3,12268677.0
2016-08-17,123.64,124.38,122.85,124.37,11991111.0
2016-08-18,124.03,124.26,123.64,123.91,10466338.0
2016-08-19,123.71,124.16,123.28,123.56,9669109.0
2016-08-22,123.37,124.83,123.11,124.15,12668334.0
2016-08-23,124.55,125.09,124.25,124.37,11382613.0
2016-08-24,124.47,124.69,123.09,123.48,10650743.0
2016-08-25,123.11,124.37,123.1,123.89,9251048.0
2016-08-26,124.05,125.19,123.91,124.96,15722429.0
2016-08-29,124.35,126.73,124.35,126.54,14049298.0
2016-08-30,126.57,126.6,125.15,125.84,15927822.0
2016-08-31,125.61,126.22,125.1,126.12,11345029.0
2016-09-01,126.33,126.63,125.6,126.17,11167819.0
2016-09-02,126.81,126.86,126.0,126.51,9940622.0
2016-09-06,126.64,129.94,126.47,129.73,23076586.0
2016-09-07,130.05,131.98,129.95,131.05,25052996.0
2016-09-08,130.9,131.08,129.81,130.27,12786190.0
2016-09-09,129.68,129.95,127.1,127.1,22764237.0
2016-09-12,126.03,128.76,125.75,128.69,17428711.0
2016-09-13,128.12,128.35,126.66,127.21,15129973.0
2016-09-14,126.89,128.8,126.89,127.77,13588945.0
2016-09-15,127.98,129.1,127.67,128.35,12586221.0
2016-09-16,128.12,129.18,128.12,129.07,13748162.0
2016-09-19,129.9,129.94,128.26,128.65,12524756.0
2016-09-20,129.02,129.17,128.03,128.64,9732812.0
2016-09-21,129.1,130.01,128.39,129.94,12209918.0
2016-09-22,130.5,130.73,129.56,130.08,13271334.0
2016-09-23,127.56,128.6,127.3,127.96,23007277.0
2016-09-26,127.37,128.16,126.8,127.31,12710368.0
2016-09-27,127.61,129.01,127.43,128.69,13777814.0
2016-09-28,129.21,129.47,128.4,129.23,10331162.0
2016-09-29,129.18,129.29,127.55,128.09,12837935.0
2016-09-30,128.06,128.59,127.45,128.27,13158080.0
2016-10-03,128.42,129.09,127.8,128.77,11110365.0
2016-10-04,129.19,129.28,127.54,128.19,12644176.0
2016-10-05,128.25,128.8,127.83,128.47,10958059.0
2016-10-06,128.43,129.06,128.08,128.74,9812367.0
2016-10-07,129.04,129.25,128.33,128.99,10943588.0
2016-10-10,129.73,130.7,129.2,130.24,12029427.0
2016-10-11,130.23,130.64,128.23,128.88,14828564.0
2016-10-12,129.0,129.66,128.46,129.05,9621068.0
2016-10-13,128.21,128.25,126.75,127.82,14945529.0
2016-10-14,128.49,128.95,127.58,127.88,10238930.0
2016-10-17,128.24,128.47,127.32,127.54,8695748.0
2016-10-18,128.69,129.39,128.01,128.57,11208743.0
2016-10-19,128.74,130.47,128.6,130.11,14489353.0
2016-10-20,130.05,130.66,129.5,130.0,11026184.0
2016-10-21,129.78,132.13,129.7,132.07,15891797.0
2016-10-24,132.79,133.41,132.15,133.28,14054400.0
2016-10-25,133.5,133.5,132.22,132.29,11217700.0
2016-10-26,131.94,132.26,130.93,131.04,10692068.0
2016-10-27,131.74,131.8,129.27,129.69,13784304.0
2016-10-28,130.51,132.97,129.93,131.29,21869298.0
2016-10-31,132.01,132.12,130.88,130.99,12351526.0
2016-11-01,131.41,131.94,128.65,129.5,19077578.0
2016-11-02,130.23,130.23,126.28,127.17,31911236.0
2016-11-03,122.0,123.28,119.5,120.0,53637520.0
2016-11-04,119.59,121.93,119.25,120.75,26896710.0
2016-11-07,122.83,123.21,121.35,122.15,19450570.0
2016-11-08,122.03,124.61,121.54,124.22,17228178.0
2016-11-09,121.5,123.81,120.51,123.18,26971851.0
2016-11-10,123.93,124.18,115.27,120.8,62032086.0
2016-11-11,119.53,120.7,118.15,119.02,29573266.0
2016-11-14,119.13,119.13,113.55,115.08,45919267.0
2016-11-15,116.73,118.49,115.83,117.2,29428051.0
2016-11-16,114.48,117.88,114.21,116.34,27975006.0
2016-11-17,116.83,117.79,116.01,117.79,15819707.0
2016-11-18,118.34,119.13,116.84,117.02,18946181.0
2016-11-21,118.2,121.95,117.8,121.77,31532273.0
2016-11-22,122.4,122.98,120.9,121.47,22513806.0
2016-11-23,121.23,121.31,119.94,120.84,13487561.0
2016-11-25,121.01,121.14,120.07,120.38,7327352.0
2016-11-28,120.12,121.69,119.82,120.41,15214719.0
2016-11-29,120.57,122.1,120.4,120.87,16389174.0
2016-11-30,120.32,121.79,117.95,118.42,25282578.0
2016-12-01,118.38,118.45,114.0,115.1,38459303.0
2016-12-02,115.0,116.48,114.3,115.4,21487612.0
2016-12-05,115.95,117.57,115.07,117.43,17589069.0
2016-12-06,117.69,117.8,116.33,117.31,16832874.0
2016-12-07,117.0,117.95,116.57,117.95,18231509.0
2016-12-08,117.95,119.5,117.64,118.91,19972398.0
2016-12-09,119.26,119.94,118.95,119.68,15231183.0
2016-12-12,119.24,119.24,117.65,117.77,14745069.0
2016-12-13,117.86,121.52,117.61,120.31,26524775.0
2016-12-14,120.0,121.69,118.85,120.21,22237697.0
2016-12-15,119.99,122.5,119.63,120.57,16666289.0
2016-12-16,120.94,121.5,119.27,119.87,17404293.0
2016-12-19,119.85,120.36,118.51,119.24,13530394.0
2016-12-20,119.5,119.77,118.8,119.09,11354866.0
2016-12-21,118.92,119.2,118.48,119.04,9187639.0
2016-12-22,118.9,118.99,116.93,117.4,13754682.0
2016-12-23,117.0,117.56,116.3,117.27,9438797.0
2016-12-27,116.96,118.68,116.86,118.01,10324653.0
