date,open,high,low,close,volume
2016-03-21,26.17,26.61,25.85,25.94,8852983.0
2016-03-22,25.61,26.02,25.44,25.84,10873290.0
2016-03-23,25.83,25.87,25.2,25.27,8584664.0
2016-03-24,24.94,24.96,24.29,24.93,13852746.0
2016-03-28,24.98,25.07,24.67,24.72,8328862.0
2016-03-29,24.56,24.81,24.12,24.78,12527095.0
2016-03-30,24.96,25.43,24.76,25.07,10593978.0
2016-03-31,24.91,25.54,24.89,25.01,13601387.0
2016-04-01,24.89,25.68,24.62,25.53,13864175.0
2016-04-04,25.49,25.51,24.91,25.04,9936157.0
2016-04-05,24.63,24.7,24.24,24.38,11757482.0
2016-04-06,24.34,24.73,24.27,24.42,13843445.0
2016-04-07,24.23,24.31,23.51,23.72,15352356.0
2016-04-08,24.01,24.18,23.66,23.75,8978641.0
2016-04-11,23.9,24.44,23.87,24.11,10292532.0
2016-04-12,24.22,24.85,24.18,24.58,13870867.0
2016-04-13,25.03,25.88,24.98,25.88,16314503.0
2016-04-14,25.74,26.26,25.66,26.17,15946373.0
2016-04-15,26.3,26.37,25.71,25.76,12654553.0
2016-04-18,26.13,26.2,25.53,25.73,26756959.0
2016-04-19,25.86,26.49,25.8,26.46,21549404.0
2016-04-20,26.48,27.48,26.42,27.41,23081109.0
2016-04-21,27.35,27.88,27.14,27.26,14814888.0
2016-04-22,27.32,27.82,27.29,27.7,16515150.0
2016-04-25,27.53,27.71,27.23,27.53,10553275.0
2016-04-26,27.51,27.67,27.33,27.55,9543865.0
2016-04-27,27.33,27.83,27.19,27.53,11334573.0
2016-04-28,27.22,27.82,27.08,27.23,9968042.0
2016-04-29,27.01,27.24,26.86,27.06,13628982.0
2016-05-02,27.1,27.53,26.84,27.26,9405568.0
2016-05-03,26.88,26.91,26.34,26.89,15455518.0
2016-05-04,26.57,26.62,26.05,26.28,13202102.0
2016-05-05,26.26,26.5,26.0,26.17,10734393.0
2016-05-06,25.99,26.35,25.9,26.25,10812127.0
2016-05-09,26.24,26.5,26.03,26.1,9714686.0
2016-05-10,26.41,26.79,26.28,26.63,10177686.0
2016-05-11,26.59,26.99,26.35,26.36,8192600.0
2016-05-12,26.56,26.73,25.97,26.23,8958943.0
2016-05-13,26.19,26.65,25.89,25.89,11789309.0
2016-05-16,25.86,26.42,25.85,26.21,8565442.0
2016-05-17,26.08,26.56,25.95,26.16,11237083.0
2016-05-18,26.19,27.29,26.18,27.24,17887594.0
2016-05-19,27.07,27.35,26.44,26.61,10407671.0
2016-05-20,26.85,27.17,26.67,26.77,12626171.0
2016-05-23,26.72,26.94,26.6,26.83,7663499.0
2016-05-24,27.04,27.66,26.96,27.41,16531649.0
2016-05-25,27.61,28.29,27.6,27.78,14508820.0
2016-05-26,27.91,27.91,27.35,27.42,9025852.0
2016-05-27,27.45,27.64,27.31,27.53,8959363.0
2016-05-31,27.64,27.87,27.24,27.37,10303583.0
2016-06-01,27.11,27.57,26.67,27.49,10447086.0
2016-06-02,27.46,27.55,27.22,27.28,6941064.0
2016-06-03,26.6,26.65,26.01,26.54,13224854.0
2016-06-06,26.62,27.01,26.55,26.85,8564001.0
2016-06-07,26.91,26.94,26.5,26.52,8635874.0
2016-06-08,26.46,26.82,26.4,26.54,9057177.0
2016-06-09,26.27,26.31,25.95,26.08,8918427.0
2016-06-10,25.64,25.85,25.44,25.54,11839177.0
2016-06-13,25.31,25.73,25.24,25.26,11277611.0
2016-06-14,25.09,25.42,24.42,24.6,14433706.0
2016-06-15,24.84,25.17,24.57,24.72,15795031.0
2016-06-16,24.45,25.11,24.23,25.07,14743261.0
2016-06-17,25.1,25.49,25.04,25.31,14734156.0
2016-06-20,25.88,26.3,25.85,25.9,15120573.0
2016-06-21,26.06,26.3,25.8,26.2,10887270.0
2016-06-22,26.23,26.68,26.14,26.39,13149758.0
2016-06-23,26.93,27.29,26.8,27.29,16148752.0
2016-06-24,25.07,25.53,24.51,24.52,42356082.0
2016-06-27,24.05,24.11,23.11,23.61,22957623.0
2016-06-28,24.26,24.63,23.87,24.61,17891475.0
2016-06-29,24.94,25.25,24.64,25.23,11990553.0
2016-06-30,25.34,26.0,25.18,25.98,16727308.0
2016-07-01,25.77,26.4,25.76,25.92,7902484.0
2016-07-05,25.5,25.57,24.82,25.0,11579245.0
2016-07-06,24.73,25.23,24.57,25.15,12886986.0
