date,open,high,low,close,volume
2016-03-28,54.21,54.29,53.33,53.54,13667109.0
2016-03-29,53.66,54.86,53.45,54.71,19292867.0
2016-03-30,54.91,55.64,54.9,55.05,19408096.0
2016-03-31,54.83,55.59,54.83,55.23,19621235.0
2016-04-01,55.05,55.61,54.57,55.57,18324093.0
2016-04-04,55.43,55.66,55.0,55.43,14459627.0
2016-04-05,55.19,55.3,54.46,54.56,16044577.0
2016-04-06,54.37,55.2,54.21,55.12,17712195.0
2016-04-07,54.87,54.91,54.23,54.46,15125394.0
2016-04-08,54.68,55.28,54.32,54.42,18689760.0
2016-04-11,54.49,55.15,54.3,54.31,17875926.0
2016-04-12,54.37,54.78,53.76,54.65,21166655.0
2016-04-13,55.12,55.44,54.89,55.35,16742436.0
2016-04-14,55.22,55.58,55.07,55.36,17028052.0
2016-04-15,55.28,55.92,55.11,55.65,22324825.0
2016-04-18,55.49,56.59,55.21,56.46,19426971.0
2016-04-19,56.63,56.77,55.68,56.39,22691403.0
2016-04-20,56.29,56.5,55.48,55.59,30615293.0
2016-04-21,55.57,56.23,55.41,55.78,31091939.0
2016-04-22,51.96,52.43,50.77,51.78,109507185.0
2016-04-25,51.78,52.13,51.63,52.11,29259480.0
2016-04-26,52.26,52.35,51.09,51.44,29236759.0
2016-04-27,51.48,51.5,50.55,50.94,37165758.0
2016-04-28,50.62,50.77,49.56,49.9,37058251.0
2016-04-29,49.35,50.25,49.35,49.87,41712222.0
2016-05-02,50.0,50.75,49.77,50.61,30133932.0
2016-05-03,50.34,50.41,49.6,49.78,22498818.0
2016-05-04,49.92,50.06,49.46,49.87,19814004.0
2016-05-05,49.89,50.3,49.73,49.94,20731783.0
2016-05-06,49.92,50.39,49.66,50.39,21639697.0
2016-05-09,50.49,50.59,50.0,50.07,14553068.0
2016-05-10,50.38,51.1,50.19,51.02,19226318.0
2016-05-11,51.13,51.78,51.0,51.05,18911741.0
2016-05-12,51.2,51.81,50.92,51.51,20785797.0
2016-05-13,51.44,51.9,51.04,51.08,18554382.0
2016-05-16,50.8,51.96,50.75,51.83,14494065.0
2016-05-17,51.72,51.73,50.36,50.51,22029999.0
2016-05-18,50.48,51.14,50.3,50.81,17119173.0
2016-05-19,50.47,50.62,49.82,50.32,20761441.0
2016-05-20,50.49,51.22,50.4,50.62,19176710.0
2016-05-23,50.6,50.68,49.98,50.03,19461157.0
2016-05-24,50.69,51.71,50.4,51.59,29362034.0
2016-05-25,51.92,52.49,51.79,52.12,20670445.0
2016-05-26,51.94,51.98,51.36,51.89,20665318.0
2016-05-27,51.92,52.32,51.77,52.32,13658074.0
2016-05-31,52.26,53.0,52.08,53.0,21938546.0
2016-06-01,52.44,52.95,52.44,52.85,20864240.0
2016-06-02,52.64,52.74,51.83,52.48,19066067.0
2016-06-03,52.38,52.42,51.6,51.79,18632655.0
2016-06-06,51.99,52.35,51.89,52.13,14452602.0
2016-06-07,52.24,52.73,52.1,52.1,15929871.0
2016-06-08,52.02,52.44,51.87,52.04,16806207.0
2016-06-09,52.0,52.0,51.49,51.62,15444745.0
2016-06-10,51.05,52.05,51.04,51.48,22129473.0
2016-06-13,49.58,50.72,49.06,50.14,72045363.0
2016-06-14,49.9,50.1,49.57,49.83,38417406.0
2016-06-15,49.78,50.12,49.69,49.69,27527462.0
2016-06-16,49.52,50.47,49.5,50.39,27802594.0
2016-06-17,50.41,50.43,49.82,50.13,34812745.0
2016-06-20,50.64,50.83,50.03,50.07,30593005.0
2016-06-21,50.2,51.43,50.16,51.19,29506466.0
2016-06-22,51.05,51.46,50.95,50.99,24019901.0
2016-06-23,51.28,52.06,51.15,51.91,23579648.0
2016-06-24,49.81,50.94,49.52,49.83,58823520.0
2016-06-27,49.1,49.15,48.03,48.43,44226392.0
2016-06-28,48.89,49.47,48.67,49.44,31299483.0
2016-06-29,49.91,50.72,49.8,50.54,24613980.0
2016-06-30,50.72,51.3,50.5,51.17,21047795.0
2016-07-01,51.13,51.72,51.07,51.16,17954757.0
2016-07-05,50.83,51.28,50.74,51.17,20154939.0
2016-07-06,50.78,51.54,50.39,51.38,24895200.0
2016-07-07,51.45,51.61,51.07,51.38,16754047.0
2016-07-08,51.73,52.36,51.55,52.3,23539406.0
2016-07-11,52.5,52.83,52.47,52.59,17521731.0
2016-07-12,52.94,53.4,52.78,53.21,23042287.0
2016-07-13,53.56,53.86,53.18,53.51,21180279.0
2016-07-14,53.85,53.99,53.58,53.74,20277951.0
2016-07-15,53.95,54.0,53.21,53.7,25472489.0
2016-07-18,53.7,54.34,53.55,53.96,24397620.0
2016-07-19,53.72,53.9,52.93,53.09,41271202.0
2016-07-20,56.15,56.84,55.53,55.91,76728506.0
2016-07-21,55.98,56.23,55.76,55.8,28934560.0
2016-07-22,56.07,56.63,55.78,56.57,27062738.0
2016-07-25,56.41,56.74,56.25,56.73,20177271.0
2016-07-26,56.52,57.29,56.51,56.76,23419359.0
2016-07-27,56.61,56.8,56.11,56.19,27579080.0
2016-07-28,56.01,56.37,55.72,56.21,32081404.0
2016-07-29,56.16,56.76,56.05,56.68,24334881.0
2016-08-01,56.69,56.75,56.14,56.58,21792161.0
2016-08-02,56.84,56.9,56.31,56.58,31533089.0
2016-08-03,56.68,57.11,56.49,56.97,18980614.0
2016-08-04,56.8,57.52,56.67,57.39,22527291.0
2016-08-05,57.65,58.21,57.45,57.96,21646186.0
2016-08-08,58.05,58.09,57.78,58.06,15984738.0
2016-08-09,58.17,58.5,58.02,58.2,14531786.0
2016-08-10,58.15,58.32,57.82,58.02,13793535.0
2016-08-11,58.03,58.45,58.02,58.3,13969525.0
2016-08-12,58.03,58.19,57.62,57.94,18489688.0
2016-08-15,58.03,58.5,57.96,58.12,15810021.0
2016-08-16,57.61,57.62,57.27,57.44,16119320.0
2016-08-17,57.54,57.68,57.23,57.56,16003638.0
2016-08-18,57.42,57.7,57.27,57.6,10612702.0
2016-08-19,57.5,57.73,57.2,57.62,13533973.0
2016-08-22,57.57,57.75,57.26,57.67,12748780.0
2016-08-23,57.9,58.18,57.85,57.89,14894637.0
2016-08-24,57.82,58.04,57.71,57.95,13636400.0
2016-08-25,57.88,58.29,57.78,58.17,14139485.0
2016-08-26,58.28,58.7,57.69,58.03,18188043.0
2016-08-29,58.18,58.6,58.1,58.1,11587271.0
2016-08-30,57.98,58.19,57.61,57.89,13514262.0
2016-08-31,57.67,57.8,57.3,57.46,15066798.0
2016-09-01,57.02,57.82,57.01,57.59,22436646.0
2016-09-02,57.67,58.19,57.42,57.67,15651021.0
2016-09-06,57.58,57.8,57.21,57.61,12058361.0
2016-09-07,57.47,57.84,57.4,57.66,14644783.0
2016-09-08,57.62,57.79,57.18,57.43,15613882.0
2016-09-09,56.83,57.52,56.21,56.21,26329685.0
2016-09-12,55.85,57.21,55.61,57.05,23366597.0
2016-09-13,56.49,56.65,56.05,56.53,24666233.0
2016-09-14,56.41,56.63,56.03,56.26,19740947.0
2016-09-15,56.15,57.35,55.98,57.19,21016427.0
2016-09-16,57.44,57.63,56.75,57.25,32046320.0
2016-09-19,57.27,57.75,56.85,56.93,16342333.0
2016-09-20,57.25,57.35,56.75,56.81,14273462.0
2016-09-21,57.51,57.85,57.08,57.76,28279037.0
2016-09-22,57.95,58.0,57.63,57.82,17145615.0
2016-09-23,57.9,57.91,57.38,57.43,16020757.0
2016-09-26,57.08,57.14,56.83,56.9,16652112.0
2016-09-27,56.93,58.06,56.68,57.95,23043718.0
2016-09-28,57.87,58.06,57.67,58.03,16659202.0
2016-09-29,57.83,58.17,57.21,57.4,21798226.0
2016-09-30,57.57,57.77,57.34,57.6,19646042.0
2016-10-03,57.41,57.55,57.06,57.42,16347733.0
2016-10-04,57.32,57.6,56.97,57.24,17061458.0
2016-10-05,57.32,57.97,57.26,57.64,13740706.0
2016-10-06,57.74,57.86,57.28,57.74,13372542.0
2016-10-07,57.88,57.98,57.42,57.8,17192327.0
2016-10-10,57.92,58.39,57.87,58.04,16006332.0
2016-10-11,57.89,58.02,56.89,57.19,21407214.0
2016-10-12,57.12,57.27,56.4,57.11,19737375.0
2016-10-13,56.67,57.3,56.31,56.92,20825613.0
2016-10-14,57.11,57.74,57.11,57.42,23125709.0
2016-10-17,57.36,57.46,56.87,57.22,18286375.0
2016-10-18,57.53,57.95,57.41,57.66,15950520.0
2016-10-19,57.47,57.84,57.39,57.53,17325884.0
2016-10-20,57.5,57.52,56.66,57.25,37793745.0
2016-10-21,60.3,60.45,59.48,59.66,68081166.0
2016-10-24,59.94,61.0,59.93,61.0,44171900.0
2016-10-25,60.86,61.37,60.8,60.99,29492900.0
2016-10-26,60.8,61.2,60.47,60.63,23483499.0
2016-10-27,60.62,60.83,60.09,60.1,24533500.0
2016-10-28,60.01,60.52,59.58,59.87,25922722.0
2016-10-31,60.16,60.42,59.92,59.92,19482209.0
2016-11-01,59.94,60.02,59.25,59.8,20867948.0
2016-11-02,59.82,59.93,59.3,59.43,18578147.0
2016-11-03,59.53,59.64,59.11,59.21,16696265.0
2016-11-04,58.74,59.28,58.52,58.71,22386705.0
2016-11-07,59.8,60.52,59.78,60.42,24182540.0
2016-11-08,60.55,60.78,60.15,60.47,19613612.0
2016-11-09,60.0,60.59,59.2,60.17,41737453.0
2016-11-10,60.48,60.49,57.63,58.7,50869318.0
2016-11-11,58.27,59.12,58.01,59.02,31874403.0
2016-11-14,59.1,59.1,57.28,58.12,34473815.0
2016-11-15,58.32,59.49,58.31,58.87,28861853.0
2016-11-16,58.94,59.66,54.27,59.65,21150132.0
2016-11-17,60.41,60.95,59.96,60.64,27380435.0
2016-11-18,60.72,61.14,60.3,60.35,21754349.0
2016-11-21,60.54,60.97,60.42,60.86,15522685.0
2016-11-22,60.98,61.26,60.8,61.12,16093926.0
2016-11-23,61.01,61.1,60.25,60.4,15372752.0
2016-11-25,60.3,60.53,60.13,60.53,6354141.0
2016-11-28,60.34,61.02,60.21,60.61,14505736.0
2016-11-29,60.65,61.41,60.52,61.09,17797603.0
2016-11-30,60.86,61.18,60.21,60.26,22149337.0
2016-12-01,60.07,60.15,58.93,59.2,27571490.0
2016-12-02,59.08,59.47,58.8,59.25,20292429.0
2016-12-05,59.7,60.59,59.56,60.22,18016533.0
2016-12-06,60.43,60.46,59.8,59.95,15912491.0
2016-12-07,60.01,61.38,59.8,61.37,23887795.0
2016-12-08,61.3,61.58,60.84,61.01,17877928.0
2016-12-09,61.18,61.99,61.12,61.97,20285734.0
2016-12-12,61.87,62.3,61.72,62.17,16223939.0
2016-12-13,62.5,63.42,62.24,62.98,28089002.0
2016-12-14,63.0,63.45,62.53,62.68,24308067.0
2016-12-15,62.72,63.16,62.3,62.58,22979222.0
2016-12-16,62.91,62.95,62.11,62.3,31174933.0
2016-12-19,62.55,63.77,62.42,63.62,24657686.0
2016-12-20,63.69,63.8,63.02,63.54,17989372.0
2016-12-21,63.49,63.7,63.12,63.54,14076469.0
2016-12-22,63.84,64.1,63.4,63.55,17606785.0
2016-12-23,63.52,63.54,62.8,63.24,10181880.0
2016-12-27,63.21,64.07,63.21,63.28,9585506.0
2016-12-28,63.4,63.4,62.83,62.99,11240805.0
2016-12-29,62.86,63.2,62.73,62.9,8444209.0
2016-12-30,62.98,62.99,62.03,62.14,17483688.0
2017-01-03,62.76,62.84,62.12,62.58,16435995.0
2017-01-04,62.48,62.75,62.12,62.3,15428737.0
2017-01-05,62.19,62.66,62.03,62.3,17069869.0
2017-01-06,62.38,63.15,62.04,62.84,16440421.0
