date,open,high,low,close,volume
2016-03-21,0.84,0.85,0.83,0.85,259715280.0
2016-03-22,0.85,0.85,0.84,0.85,202154280.0
2016-03-23,0.85,0.87,0.85,0.86,383595000.0
2016-03-24,0.85,0.86,0.85,0.86,199379600.0
2016-03-28,0.86,0.87,0.86,0.87,224184600.0
2016-03-29,0.87,0.89,0.87,0.88,235798720.0
2016-03-30,0.89,0.91,0.89,0.89,343307720.0
2016-03-31,0.9,0.9,0.88,0.89,259696920.0
2016-04-01,0.89,0.9,0.88,0.9,269938360.0
2016-04-04,0.91,0.92,0.89,0.89,317741120.0
2016-04-05,0.89,0.9,0.88,0.89,279270080.0
2016-04-06,0.88,0.9,0.87,0.89,414131160.0
2016-04-07,0.89,0.9,0.88,0.89,330431400.0
2016-04-08,0.89,0.9,0.88,0.89,221897360.0
2016-04-11,0.9,0.91,0.89,0.9,328338720.0
2016-04-12,0.9,0.9,0.88,0.9,249926640.0
2016-04-13,0.9,0.92,0.9,0.92,300754720.0
2016-04-14,0.92,0.93,0.91,0.92,334669320.0
2016-04-15,0.92,0.94,0.92,0.93,376611000.0
2016-04-18,0.93,0.93,0.92,0.92,250373680.0
2016-04-19,0.93,0.93,0.9,0.91,271667280.0
2016-04-20,0.91,0.92,0.91,0.91,177483480.0
2016-04-21,0.91,0.92,0.91,0.91,148689520.0
2016-04-22,0.91,0.92,0.9,0.91,179797760.0
2016-04-25,0.91,0.92,0.9,0.91,151066920.0
2016-04-26,0.92,0.93,0.91,0.91,191445760.0
2016-04-27,0.91,0.93,0.91,0.93,295039840.0
2016-04-28,0.93,0.93,0.9,0.91,322882280.0
2016-04-29,0.9,0.9,0.88,0.89,269414560.0
2016-05-02,0.9,0.91,0.89,0.9,215964160.0
2016-05-03,0.89,0.89,0.88,0.89,181577160.0
2016-05-04,0.88,0.88,0.86,0.87,418082160.0
2016-05-05,0.88,0.88,0.87,0.87,213188920.0
2016-05-06,0.87,0.89,0.87,0.88,159075520.0
2016-05-09,0.89,0.89,0.87,0.88,273177920.0
2016-05-10,0.89,0.9,0.88,0.9,240622240.0
2016-05-11,0.9,0.91,0.9,0.9,249037960.0
2016-05-12,0.91,0.91,0.87,0.89,530609800.0
2016-05-13,0.98,1.03,0.98,1.02,1711374480.0
2016-05-16,1.02,1.07,1.01,1.05,852469360.0
2016-05-17,1.05,1.06,1.04,1.06,504245240.0
2016-05-18,1.05,1.1,1.05,1.08,467785240.0
2016-05-19,1.08,1.1,1.08,1.09,332823240.0
2016-05-20,1.1,1.11,1.09,1.11,346145240.0
2016-05-23,1.11,1.12,1.1,1.11,307212400.0
2016-05-24,1.11,1.14,1.11,1.13,342151360.0
2016-05-25,1.14,1.14,1.12,1.13,394866480.0
2016-05-26,1.13,1.15,1.13,1.14,280571520.0
2016-05-27,1.14,1.15,1.14,1.15,184793640.0
2016-05-31,1.15,1.17,1.15,1.17,276691520.0
2016-06-01,1.16,1.18,1.16,1.17,274915760.0
2016-06-02,1.18,1.19,1.17,1.18,276641880.0
2016-06-03,1.17,1.17,1.14,1.16,415331400.0
2016-06-06,1.17,1.17,1.15,1.16,293676080.0
2016-06-07,1.16,1.17,1.16,1.16,165039800.0
2016-06-08,1.16,1.16,1.15,1.15,209401280.0
2016-06-09,1.15,1.19,1.15,1.18,406308320.0
2016-06-10,1.17,1.18,1.15,1.16,365493920.0
2016-06-13,1.16,1.19,1.16,1.17,358847480.0
2016-06-14,1.17,1.18,1.15,1.17,240303160.0
2016-06-15,1.18,1.19,1.17,1.18,234929760.0
2016-06-16,1.18,1.19,1.16,1.19,191570800.0
2016-06-17,1.19,1.19,1.16,1.17,273764120.0
2016-06-20,1.19,1.2,1.19,1.19,245758640.0
2016-06-21,1.2,1.2,1.18,1.18,177328520.0
2016-06-22,1.18,1.19,1.18,1.18,164332440.0
2016-06-23,1.19,1.21,1.19,1.21,255341520.0
2016-06-24,1.16,1.18,1.13,1.14,551612280.0
2016-06-27,1.13,1.14,1.11,1.13,399258120.0
2016-06-28,1.15,1.15,1.13,1.15,333562240.0
2016-06-29,1.16,1.18,1.15,1.17,280210120.0
2016-06-30,1.17,1.18,1.16,1.18,315760160.0
2016-07-01,1.17,1.18,1.16,1.17,189087080.0
2016-07-05,1.16,1.19,1.15,1.18,335331040.0
2016-07-06,1.18,1.2,1.17,1.19,232527400.0
2016-07-07,1.2,1.23,1.19,1.22,348848920.0
2016-07-08,1.24,1.28,1.23,1.27,421963000.0
2016-07-11,1.29,1.31,1.29,1.3,374707160.0
2016-07-12,1.32,1.33,1.3,1.32,376213440.0
2016-07-13,1.32,1.33,1.32,1.32,264675840.0
2016-07-14,1.33,1.34,1.32,1.33,275685280.0
2016-07-15,1.31,1.32,1.3,1.32,376604880.0
2016-07-18,1.33,1.34,1.32,1.32,218000360.0
2016-07-19,1.32,1.34,1.32,1.34,239331160.0
2016-07-20,1.34,1.36,1.34,1.36,259597960.0
2016-07-21,1.35,1.36,1.33,1.33,315481720.0
2016-07-22,1.34,1.37,1.33,1.37,256715280.0
2016-07-25,1.38,1.4,1.37,1.39,276485920.0
2016-07-26,1.4,1.42,1.4,1.42,388733280.0
2016-07-27,1.43,1.43,1.39,1.4,380181200.0
2016-07-28,1.4,1.42,1.4,1.4,182907600.0
2016-07-29,1.41,1.43,1.38,1.43,360502680.0
2016-08-01,1.43,1.44,1.41,1.42,252222560.0
2016-08-02,1.43,1.43,1.39,1.4,217268600.0
2016-08-03,1.4,1.41,1.39,1.4,247248880.0
2016-08-04,1.41,1.44,1.41,1.43,228908880.0
2016-08-05,1.45,1.46,1.44,1.46,255833760.0
2016-08-08,1.48,1.48,1.45,1.47,250079560.0
2016-08-09,1.48,1.49,1.47,1.47,330827440.0
2016-08-10,1.48,1.49,1.46,1.46,319567600.0
2016-08-11,1.47,1.5,1.47,1.49,511295480.0
2016-08-12,1.55,1.58,1.52,1.58,1266952720.0
2016-08-15,1.58,1.59,1.55,1.57,444634040.0
2016-08-16,1.57,1.57,1.56,1.57,253264040.0
2016-08-17,1.57,1.57,1.52,1.53,524412360.0
2016-08-18,1.53,1.56,1.52,1.55,271242320.0
2016-08-19,1.55,1.57,1.55,1.56,245785880.0
2016-08-22,1.56,1.57,1.54,1.56,197322600.0
2016-08-23,1.58,1.58,1.57,1.57,278583720.0
2016-08-24,1.58,1.58,1.54,1.55,248909680.0
2016-08-25,1.55,1.55,1.52,1.54,320800560.0
2016-08-26,1.54,1.56,1.53,1.55,254414560.0
2016-08-29,1.56,1.56,1.55,1.55,211434080.0
2016-08-30,1.55,1.56,1.54,1.54,220177400.0
2016-08-31,1.54,1.55,1.53,1.53,302575240.0
2016-09-01,1.53,1.58,1.53,1.58,379513480.0
2016-09-02,1.58,1.58,1.55,1.56,280018960.0
2016-09-06,1.57,1.58,1.56,1.58,255989120.0
2016-09-07,1.57,1.58,1.55,1.55,256847480.0
2016-09-08,1.55,1.57,1.54,1.57,227485120.0
2016-09-09,1.55,1.56,1.48,1.49,615029600.0
2016-09-12,1.47,1.52,1.43,1.52,500334560.0
2016-09-13,1.52,1.53,1.49,1.5,330730280.0
2016-09-14,1.5,1.52,1.49,1.51,252514960.0
2016-09-15,1.51,1.57,1.51,1.57,426176080.0
2016-09-16,1.57,1.58,1.55,1.57,462423720.0
2016-09-19,1.59,1.63,1.58,1.59,360985600.0
2016-09-20,1.6,1.61,1.57,1.58,263116520.0
2016-09-21,1.58,1.62,1.58,1.62,292840720.0
2016-09-22,1.63,1.64,1.62,1.63,260995520.0
2016-09-23,1.63,1.63,1.62,1.62,227401480.0
2016-09-26,1.61,1.61,1.59,1.61,188073680.0
2016-09-27,1.6,1.67,1.6,1.66,355349000.0
2016-09-28,1.67,1.67,1.65,1.67,274455240.0
2016-09-29,1.67,1.69,1.65,1.69,279236640.0
2016-09-30,1.69,1.73,1.68,1.71,340572080.0
2016-10-03,1.71,1.74,1.71,1.71,198505800.0
2016-10-04,1.72,1.74,1.69,1.71,242131160.0
2016-10-05,1.72,1.74,1.7,1.71,244808640.0
2016-10-06,1.69,1.7,1.66,1.68,312323440.0
2016-10-07,1.69,1.7,1.67,1.67,250491240.0
2016-10-10,1.68,1.69,1.66,1.68,251145680.0
2016-10-11,1.67,1.67,1.64,1.65,285220000.0
2016-10-12,1.65,1.67,1.63,1.66,237993040.0
2016-10-13,1.64,1.65,1.59,1.63,339283520.0
2016-10-14,1.65,1.66,1.64,1.65,220202200.0
2016-10-17,1.65,1.66,1.64,1.64,167030680.0
2016-10-18,1.66,1.67,1.66,1.67,193307680.0
2016-10-19,1.65,1.67,1.65,1.66,145180840.0
2016-10-20,1.68,1.7,1.66,1.69,272393560.0
2016-10-21,1.69,1.69,1.67,1.69,157809840.0
2016-10-24,1.7,1.77,1.7,1.77,282123480.0
2016-10-25,1.76,1.81,1.76,1.8,329687200.0
2016-10-26,1.78,1.82,1.78,1.8,282781400.0
2016-10-27,1.82,1.82,1.76,1.77,271552800.0
2016-10-28,1.78,1.8,1.76,1.76,244270760.0
2016-10-31,1.77,1.79,1.77,1.78,206500000.0
2016-11-01,1.79,1.8,1.71,1.73,340665880.0
2016-11-02,1.74,1.76,1.72,1.72,245331120.0
2016-11-03,1.73,1.73,1.67,1.7,271033440.0
2016-11-04,1.69,1.72,1.66,1.69,286101680.0
2016-11-07,1.74,1.79,1.74,1.78,395693840.0
2016-11-08,1.79,1.79,1.76,1.78,261270840.0
2016-11-09,1.73,1.77,1.72,1.75,392779160.0
2016-11-10,1.79,1.79,1.67,1.69,606946880.0
2016-11-11,1.99,2.22,1.96,2.2,1882256480.0
2016-11-14,2.2,2.2,2.09,2.09,783495000.0
2016-11-15,2.11,2.19,2.1,2.15,547358120.0
2016-11-16,2.18,2.31,2.16,2.29,856007920.0
2016-11-17,2.31,2.37,2.27,2.31,760652920.0
2016-11-18,2.31,2.36,2.3,2.33,516574560.0
2016-11-21,2.35,2.36,2.31,2.32,358870440.0
2016-11-22,2.33,2.34,2.31,2.34,270861120.0
2016-11-23,2.34,2.38,2.32,2.35,372778360.0
2016-11-25,2.36,2.38,2.34,2.35,165770840.0
2016-11-28,2.35,2.37,2.34,2.35,212851760.0
2016-11-29,2.35,2.36,2.31,2.33,301342760.0
2016-11-30,2.34,2.35,2.3,2.31,302361760.0
2016-12-01,2.3,2.3,2.12,2.19,880950480.0
2016-12-02,2.16,2.22,2.13,2.21,418637320.0
2016-12-05,2.25,2.32,2.23,2.3,456153880.0
2016-12-06,2.31,2.34,2.29,2.33,389453640.0
2016-12-07,2.32,2.38,2.3,2.38,414754120.0
2016-12-08,2.38,2.42,2.33,2.34,334581040.0
2016-12-09,2.36,2.36,2.27,2.3,336032480.0
2016-12-12,2.25,2.25,2.19,2.24,515956200.0
2016-12-13,2.25,2.31,2.25,2.28,329187800.0
2016-12-14,2.31,2.43,2.29,2.41,866353800.0
2016-12-15,2.42,2.5,2.42,2.47,651851640.0
2016-12-16,2.5,2.52,2.44,2.51,739405600.0
2016-12-19,2.49,2.56,2.48,2.54,667205640.0
2016-12-20,2.61,2.65,2.6,2.63,753727320.0
2016-12-21,2.64,2.65,2.59,2.65,507447520.0
2016-12-22,2.67,2.72,2.66,2.68,653484400.0
2016-12-23,2.66,2.75,2.66,2.74,576773880.0
2016-12-27,2.8,2.93,2.78,2.93,1095469040.0
2016-12-28,2.99,3.0,2.72,2.73,2069950280.0
2016-12-29,2.62,2.79,2.57,2.79,1904580240.0
2016-12-30,2.78,2.8,2.66,2.67,1093965040.0
2017-01-03,2.61,2.66,2.48,2.55,1334404000.0
2017-01-04,2.59,2.64,2.54,2.61,1044102800.0
2017-01-05,2.61,2.65,2.53,2.54,847701640.0
2017-01-06,2.57,2.61,2.53,2.58,648202000.0
2017-01-09,2.59,2.7,2.59,2.68,831954480.0
2017-01-10,2.7,2.73,2.64,2.66,670307960.0
2017-01-11,2.65,2.66,2.6,2.63,439463880.0
2017-01-12,2.61,2.62,2.54,2.59,558673880.0
2017-01-13,2.59,2.63,2.58,2.59,399333680.0
2017-01-17,2.57,2.58,2.51,2.53,486206160.0
2017-01-18,2.51,2.58,2.48,2.57,490438400.0
2017-01-19,2.58,2.66,2.57,2.63,531323960.0
2017-01-20,2.65,2.67,2.58,2.6,429592040.0
2017-01-23,2.6,2.65,2.59,2.63,317027080.0
2017-01-24,2.64,2.69,2.62,2.68,377368160.0
2017-01-25,2.73,2.73,2.66,2.69,464104560.0
2017-01-26,2.7,2.75,2.67,2.74,406577680.0
2017-01-27,2.75,2.8,2.72,2.79,409370760.0
2017-01-30,2.77,2.78,2.7,2.75,438608680.0
2017-01-31,2.72,2.75,2.71,2.73,300576360.0
2017-02-01,2.76,2.85,2.75,2.85,523233880.0
2017-02-02,2.83,2.89,2.8,2.88,425272280.0
