date,open,high,low,close,volume
2016-03-28,30.09,30.22,29.74,29.78,27521105.0
2016-03-29,29.82,30.19,29.71,30.05,30242482.0
2016-03-30,30.15,30.21,30.01,30.07,28281166.0
2016-03-31,30.06,30.17,29.51,29.64,48442228.0
2016-04-01,29.44,30.17,29.41,30.04,38837158.0
2016-04-04,30.09,30.75,30.06,30.72,35834383.0
2016-04-05,31.21,31.75,30.57,31.36,208413688.0
2016-04-06,31.55,33.0,31.53,32.93,136896557.0
2016-04-07,32.61,33.08,32.5,32.76,57015472.0
2016-04-08,32.83,32.9,32.28,32.5,48544763.0
2016-04-11,32.52,32.57,31.87,31.89,49722867.0
2016-04-12,31.9,32.14,31.8,31.96,36477828.0
2016-04-13,32.06,32.61,31.97,32.54,27984738.0
2016-04-14,32.48,32.78,32.33,32.65,22656159.0
2016-04-15,32.65,32.79,32.3,32.5,26989357.0
2016-04-18,32.3,32.86,32.29,32.61,25370404.0
2016-04-19,32.8,33.2,32.74,32.89,25246231.0
2016-04-20,32.85,33.4,32.85,33.23,31770286.0
2016-04-21,33.06,33.48,33.04,33.24,30281370.0
2016-04-22,33.25,33.5,33.07,33.27,21183810.0
2016-04-25,33.14,33.27,33.0,33.21,17513686.0
2016-04-26,33.2,33.33,32.92,33.05,20236379.0
2016-04-27,32.98,33.21,32.9,33.0,21278873.0
2016-04-28,32.97,33.18,32.74,32.91,27785990.0
2016-04-29,32.89,32.95,32.43,32.71,28202415.0
2016-05-02,32.56,33.0,32.5,32.8,30283192.0
2016-05-03,33.65,33.97,33.25,33.7,53076852.0
2016-05-04,33.67,33.9,33.33,33.4,31146722.0
2016-05-05,33.37,33.73,33.3,33.57,21472123.0
2016-05-06,33.38,33.59,33.2,33.58,20504787.0
2016-05-09,33.54,33.96,33.52,33.82,24893108.0
2016-05-10,33.83,33.87,33.48,33.8,22217079.0
2016-05-11,33.45,33.56,33.15,33.16,27485344.0
2016-05-12,33.22,33.29,32.92,33.19,23168424.0
2016-05-13,33.33,33.45,33.13,33.19,16647298.0
2016-05-16,32.93,33.43,32.81,33.38,18969994.0
2016-05-17,33.27,33.34,32.92,33.03,26855594.0
2016-05-18,33.01,33.38,32.97,33.17,17352123.0
2016-05-19,33.16,33.43,32.96,33.38,22490572.0
2016-05-20,33.48,33.9,33.45,33.74,25433850.0
2016-05-23,33.83,33.91,33.65,33.67,17854810.0
2016-05-24,33.69,34.18,33.69,34.1,21116749.0
2016-05-25,34.12,34.4,34.07,34.35,17571684.0
2016-05-26,34.26,34.65,34.26,34.43,19661360.0
2016-05-27,34.38,34.75,34.38,34.61,16555007.0
2016-05-31,34.64,34.75,34.38,34.7,20116100.0
2016-06-01,34.65,34.94,34.62,34.75,20497804.0
2016-06-02,34.69,34.99,34.52,34.87,24775280.0
2016-06-03,34.87,34.88,34.45,34.69,24031206.0
2016-06-06,34.7,34.99,34.62,34.93,18218025.0
2016-06-07,34.91,34.99,34.75,34.84,19720811.0
2016-06-08,34.77,35.33,34.67,35.25,19224584.0
2016-06-09,35.05,35.5,35.03,35.31,21202712.0
2016-06-10,35.11,35.39,35.02,35.29,16827765.0
2016-06-13,35.02,35.15,34.7,34.74,24577488.0
2016-06-14,34.6,35.03,34.58,34.99,24984150.0
2016-06-15,35.01,35.19,34.65,34.79,17776802.0
2016-06-16,34.68,34.79,34.42,34.75,20267112.0
2016-06-17,34.78,34.81,34.05,34.22,22406489.0
2016-06-20,34.48,34.7,34.18,34.5,19717522.0
2016-06-21,34.51,34.88,34.51,34.75,19484213.0
2016-06-22,34.74,34.95,34.41,34.47,21123378.0
2016-06-23,34.7,34.74,34.3,34.59,19394937.0
2016-06-24,33.8,34.45,33.74,33.97,31433988.0
2016-06-27,33.8,33.98,33.53,33.8,25234424.0
2016-06-28,34.15,34.47,33.91,34.44,19361317.0
2016-06-29,34.62,35.15,34.57,35.01,19037572.0
2016-06-30,35.14,35.27,34.94,35.21,19939983.0
2016-07-01,35.15,35.65,35.11,35.57,16059564.0
2016-07-05,35.54,35.92,35.45,35.81,17092823.0
2016-07-06,35.82,35.9,35.38,35.86,20192177.0
2016-07-07,35.79,35.93,35.55,35.77,15513675.0
2016-07-08,35.88,36.19,35.7,36.12,14143944.0
2016-07-11,36.07,36.35,36.03,36.15,12484414.0
2016-07-12,36.15,36.3,36.03,36.24,13924829.0
2016-07-13,36.28,36.43,36.21,36.31,11337555.0
2016-07-14,36.49,36.96,36.25,36.92,22846256.0
2016-07-15,36.97,37.19,36.63,36.77,21534090.0
2016-07-18,36.68,36.99,36.55,36.64,14984218.0
2016-07-19,36.67,36.87,36.55,36.64,12842074.0
2016-07-20,36.83,36.93,36.68,36.68,10308582.0
2016-07-21,36.67,36.82,36.52,36.71,10730944.0
2016-07-22,36.8,36.84,36.68,36.74,11191753.0
2016-07-25,36.8,36.84,36.51,36.78,8593535.0
2016-07-26,36.83,36.87,36.65,36.83,9722300.0
2016-07-27,36.75,36.92,36.65,36.85,12880403.0
2016-07-28,36.88,36.91,36.5,36.67,11739611.0
2016-07-29,36.68,36.95,36.65,36.89,15483838.0
2016-08-01,37.02,37.39,36.98,37.31,25126927.0
2016-08-02,36.76,36.82,36.13,36.39,28568560.0
2016-08-03,35.91,35.95,35.06,35.29,37155936.0
2016-08-04,35.5,35.52,35.15,35.15,22042812.0
2016-08-05,35.36,35.53,35.22,35.44,23256761.0
2016-08-08,35.28,35.28,34.71,34.93,24798620.0
2016-08-09,34.99,35.3,34.9,35.08,14480290.0
2016-08-10,35.18,35.18,34.91,35.13,12436417.0
2016-08-11,35.13,35.28,35.1,35.15,11130479.0
2016-08-12,35.08,35.11,34.75,34.98,12767654.0
2016-08-15,35.05,35.17,34.93,35.11,10820446.0
2016-08-16,34.94,35.08,34.77,34.79,12186531.0
2016-08-17,34.75,35.15,34.75,35.14,15342120.0
2016-08-18,35.13,35.36,34.99,35.19,13686726.0
2016-08-19,35.06,35.12,34.82,34.98,13151571.0
2016-08-22,34.8,35.28,34.76,34.84,23745399.0
2016-08-23,35.0,35.27,34.91,35.09,13812720.0
2016-08-24,35.23,35.38,34.76,34.82,19958425.0
2016-08-25,34.76,35.19,34.66,34.77,15873051.0
2016-08-26,34.8,35.1,34.66,34.82,17129874.0
2016-08-29,34.94,35.17,34.81,35.11,13225974.0
2016-08-30,35.11,35.18,34.85,34.88,12441805.0
2016-08-31,34.86,34.94,34.61,34.8,14868801.0
2016-09-01,34.7,34.94,34.61,34.68,13472639.0
2016-09-02,34.78,34.84,34.61,34.77,12166894.0
2016-09-06,34.88,34.99,34.75,34.77,13494130.0
2016-09-07,34.72,34.89,34.68,34.84,12817543.0
2016-09-08,34.71,34.81,34.62,34.72,15515273.0
2016-09-09,34.55,34.59,34.09,34.1,16790717.0
2016-09-12,34.0,34.73,33.94,34.65,16272351.0
2016-09-13,34.44,34.44,33.85,34.04,16865226.0
2016-09-14,34.12,34.35,33.86,33.94,15944358.0
2016-09-15,33.89,34.33,33.55,34.14,17170496.0
2016-09-16,34.19,34.22,33.83,33.94,17919834.0
2016-09-19,33.99,34.03,33.59,33.65,15126057.0
2016-09-20,33.84,33.94,33.6,33.81,11017221.0
2016-09-21,33.9,34.33,33.74,34.28,12628392.0
2016-09-22,34.33,34.43,34.07,34.15,14657233.0
2016-09-23,34.16,34.37,34.01,34.26,10866083.0
2016-09-26,33.92,34.01,33.42,33.64,22789101.0
2016-09-27,33.77,33.88,33.48,33.83,12958376.0
2016-09-28,33.85,34.0,33.69,33.99,11669928.0
2016-09-29,33.94,34.07,33.3,33.32,21259365.0
2016-09-30,33.43,34.02,33.4,33.87,21757293.0
2016-10-03,33.73,33.73,33.38,33.68,15516517.0
2016-10-04,33.67,33.91,33.51,33.72,17520560.0
2016-10-05,33.73,33.98,33.68,33.9,11307821.0
2016-10-06,33.78,33.8,33.47,33.65,13062883.0
2016-10-07,33.7,34.0,33.42,33.56,12580325.0
2016-10-10,33.65,33.84,33.57,33.61,14556912.0
2016-10-11,33.56,33.57,32.94,33.13,14870746.0
2016-10-12,33.14,33.25,32.94,33.07,13177659.0
2016-10-13,32.57,32.9,32.52,32.76,20159713.0
2016-10-14,32.73,32.9,32.66,32.66,11789231.0
2016-10-17,32.58,32.71,32.48,32.5,13600711.0
2016-10-18,32.75,32.87,32.61,32.69,12841324.0
2016-10-19,32.75,32.85,32.49,32.6,12097123.0
2016-10-20,32.49,32.74,32.49,32.54,15953834.0
2016-10-21,32.42,32.45,32.18,32.18,15724760.0
2016-10-24,32.3,32.36,32.05,32.13,16175583.0
2016-10-25,32.02,32.37,31.98,32.28,15149828.0
2016-10-26,32.28,32.6,32.15,32.4,14901121.0
2016-10-27,32.6,32.81,32.37,32.48,14203193.0
2016-10-28,32.52,32.56,31.88,31.93,25580699.0
2016-10-31,32.04,32.04,31.61,31.71,30869918.0
2016-11-01,30.92,31.72,30.75,31.07,48115157.0
2016-11-02,30.99,31.04,30.36,30.63,31890482.0
2016-11-03,30.7,30.7,29.83,29.89,31923221.0
2016-11-04,29.91,30.37,29.9,30.0,30280177.0
2016-11-07,30.23,30.44,30.08,30.38,25954065.0
2016-11-08,30.13,30.45,29.96,30.0,32990912.0
2016-11-09,33.01,33.37,31.5,32.12,106680543.0
2016-11-10,33.37,33.83,32.85,33.49,59782807.0
2016-11-11,33.22,33.34,32.19,32.59,31270410.0
2016-11-14,32.85,32.9,32.13,32.38,26888967.0
2016-11-15,32.76,32.76,31.88,32.23,25176148.0
2016-11-16,32.2,32.33,31.93,31.96,18577653.0
2016-11-17,32.01,32.12,31.68,31.73,23204755.0
2016-11-18,31.95,31.95,31.44,31.48,19533346.0
2016-11-21,31.51,31.69,31.49,31.57,16398898.0
2016-11-22,31.93,31.99,31.05,31.33,22312006.0
2016-11-23,31.18,31.45,30.63,31.42,19016442.0
2016-11-25,31.6,31.74,31.55,31.69,8392887.0
2016-11-28,31.69,31.84,31.5,31.54,13946224.0
2016-11-29,31.85,31.97,31.61,31.92,17666897.0
2016-11-30,31.98,32.37,31.75,32.14,27596467.0
2016-12-01,32.25,32.25,31.4,31.46,25455042.0
2016-12-02,31.54,31.73,31.36,31.63,15792030.0
2016-12-05,31.74,31.77,31.39,31.59,15810632.0
2016-12-06,31.65,31.7,31.43,31.56,14351267.0
2016-12-07,31.33,31.33,30.6,31.19,37184497.0
2016-12-08,30.84,31.1,30.51,30.94,31713482.0
2016-12-09,31.11,31.92,31.09,31.7,25414710.0
2016-12-12,31.7,32.65,31.66,32.4,26922644.0
2016-12-13,32.82,32.89,32.56,32.83,24662864.0
2016-12-14,32.92,33.3,32.64,32.82,30292054.0
2016-12-15,32.61,32.96,32.6,32.75,17713859.0
2016-12-16,32.88,32.94,32.52,32.84,22716662.0
2016-12-19,32.76,32.97,32.72,32.83,19329881.0
2016-12-20,32.78,32.88,32.57,32.85,22207837.0
2016-12-21,32.73,32.93,32.33,32.4,15547488.0
2016-12-22,32.29,32.43,32.05,32.34,12652317.0
2016-12-23,32.41,32.56,32.36,32.48,8590617.0
2016-12-27,32.55,32.72,32.48,32.53,9487289.0
2016-12-28,32.5,32.69,32.34,32.35,11527192.0
2016-12-29,32.39,32.62,32.37,32.49,10328391.0
2016-12-30,32.34,32.6,32.31,32.48,13614304.0
2017-01-03,32.7,33.0,32.59,33.0,18881071.0
2017-01-04,33.13,33.35,33.03,33.29,18213669.0
2017-01-05,33.37,33.69,33.12,33.61,17557577.0
2017-01-06,33.66,33.7,33.34,33.48,13946460.0
2017-01-09,33.51,33.67,33.38,33.47,12909351.0
2017-01-10,33.59,33.66,33.32,33.44,15527216.0
2017-01-11,33.45,33.54,32.4,32.83,36841900.0
2017-01-12,32.53,32.62,32.3,32.6,27687635.0
2017-01-13,32.67,32.78,32.33,32.52,17130856.0
