date,open,high,low,close,volume
2016-03-28,15.45,15.65,15.0,15.35,48811065.0
2016-03-29,15.33,15.49,15.02,15.34,48074385.0
2016-03-30,15.67,15.7,15.1,15.13,51305145.0
2016-03-31,15.29,15.83,15.0,15.32,95905215.0
2016-04-01,16.32,16.53,15.55,15.84,197792460.0
2016-04-04,16.61,16.81,16.24,16.47,162756795.0
2016-04-05,16.03,17.1,16.0,17.03,125288760.0
2016-04-06,16.93,17.85,16.9,17.69,141712650.0
2016-04-07,17.76,17.96,16.97,17.15,109105755.0
2016-04-08,17.37,17.39,16.53,16.67,90622260.0
2016-04-11,16.75,17.27,16.35,16.66,117063690.0
2016-04-12,16.63,16.79,16.24,16.52,72052395.0
2016-04-13,16.57,17.03,16.49,16.97,62710950.0
2016-04-14,16.87,17.12,16.74,16.79,52610970.0
2016-04-15,16.75,16.97,16.61,16.97,46159770.0
2016-04-18,16.82,17.22,16.78,16.93,54477075.0
2016-04-19,16.87,16.96,16.08,16.49,79856370.0
2016-04-20,16.42,16.91,16.1,16.66,67242450.0
2016-04-21,16.6,16.73,16.46,16.55,34454400.0
2016-04-22,16.59,16.93,16.38,16.92,48261015.0
2016-04-25,16.87,17.16,16.72,16.79,44281980.0
2016-04-26,16.8,17.05,16.63,16.92,40979355.0
2016-04-27,16.85,17.0,16.63,16.76,40503795.0
2016-04-28,16.66,16.9,16.5,16.51,31405830.0
2016-04-29,16.54,16.56,15.85,16.05,65816895.0
2016-05-02,16.1,16.21,15.65,16.12,48040740.0
2016-05-03,15.82,15.93,15.44,15.49,52966095.0
2016-05-04,15.35,15.63,14.69,14.84,93593940.0
2016-05-05,15.23,15.24,13.99,14.1,137852265.0
2016-05-06,14.06,14.42,13.87,14.33,73699785.0
2016-05-09,14.38,14.41,13.79,13.93,59337765.0
2016-05-10,13.84,13.96,13.67,13.91,50721300.0
2016-05-11,13.84,14.37,13.74,13.93,60518865.0
2016-05-12,14.1,14.11,13.58,13.82,45653025.0
2016-05-13,13.85,14.08,13.78,13.84,34791285.0
2016-05-16,13.88,14.21,13.86,13.89,36115935.0
2016-05-17,13.94,13.99,13.6,13.64,33413535.0
2016-05-18,13.94,14.35,13.85,14.08,64592820.0
2016-05-19,14.24,14.45,13.82,14.35,83682840.0
2016-05-20,14.47,14.7,14.42,14.69,105996750.0
2016-05-23,14.66,14.84,14.39,14.41,63726840.0
2016-05-24,14.44,14.58,14.35,14.53,36871965.0
2016-05-25,14.53,14.76,14.43,14.64,36775380.0
2016-05-26,14.7,15.02,14.6,15.01,52530720.0
2016-05-27,15.0,15.06,14.72,14.87,41121720.0
2016-05-31,14.87,14.98,14.77,14.88,24040395.0
2016-06-01,14.77,14.83,14.46,14.64,37552455.0
2016-06-02,14.64,14.66,14.47,14.6,23340300.0
2016-06-03,14.67,14.8,14.53,14.6,27638205.0
