date,open,high,low,close,volume
2016-03-21,126.24,127.0,125.68,126.74,2025640.0
2016-03-22,126.65,128.82,126.02,128.02,2701455.0
2016-03-23,128.15,130.35,128.02,129.79,5287609.0
2016-03-24,128.97,130.32,127.17,128.59,3368177.0
2016-03-28,128.82,129.5,128.01,128.92,1367294.0
2016-03-29,129.27,130.09,128.54,129.83,1795971.0
2016-03-30,130.09,131.11,129.39,129.68,2028630.0
2016-03-31,129.64,129.97,128.29,128.9,2021863.0
2016-04-01,128.69,130.44,128.36,129.92,3027156.0
2016-04-04,130.5,130.7,128.87,129.49,2204797.0
2016-04-05,128.95,129.46,126.9,127.04,3181175.0
2016-04-06,127.23,128.42,126.88,128.03,2237304.0
2016-04-07,127.51,128.44,126.23,126.87,2300292.0
2016-04-08,127.19,128.15,125.26,125.68,2975857.0
2016-04-11,125.83,126.94,125.83,126.33,2377143.0
2016-04-12,126.3,127.36,125.4,126.8,2292027.0
2016-04-13,127.65,128.66,127.27,127.76,2015081.0
2016-04-14,127.72,128.57,127.55,127.98,1209175.0
2016-04-15,127.89,128.06,126.22,127.33,2163259.0
2016-04-18,126.88,128.03,126.6,127.81,2127381.0
2016-04-19,130.09,131.3,129.12,130.5,3284654.0
2016-04-20,131.06,135.11,130.9,133.93,6155600.0
2016-04-21,133.56,134.0,132.43,132.96,2916572.0
2016-04-22,133.72,134.33,133.05,134.13,2096014.0
2016-04-25,133.71,134.07,132.59,133.78,1817087.0
2016-04-26,133.97,134.61,133.0,134.24,2003933.0
2016-04-27,134.34,134.58,131.9,132.8,2468464.0
2016-04-28,132.79,134.39,131.68,132.07,2548750.0
2016-04-29,131.06,131.88,128.93,131.68,3138067.0
2016-05-02,132.61,132.93,130.92,132.1,2302734.0
2016-05-03,131.37,133.23,131.13,132.46,2977941.0
2016-05-04,131.47,132.41,130.58,132.03,2101317.0
2016-05-05,132.05,133.28,131.85,132.31,1559631.0
2016-05-06,132.09,132.28,130.6,132.04,2067615.0
2016-05-09,131.75,133.59,131.57,132.67,1646108.0
2016-05-10,132.92,133.6,132.58,133.57,1797346.0
2016-05-11,133.74,134.0,130.58,130.69,2559178.0
2016-05-12,131.0,131.29,128.75,129.74,2450894.0
2016-05-13,129.1,130.03,128.55,129.0,2362460.0
2016-05-16,128.75,130.86,128.53,130.64,1535900.0
2016-05-17,130.57,131.22,128.99,129.56,1540885.0
2016-05-18,129.11,131.27,128.93,130.51,1678246.0
2016-05-19,129.69,131.12,128.76,130.0,2212360.0
2016-05-20,130.63,131.79,130.2,130.94,2048397.0
2016-05-23,130.13,131.2,130.01,130.42,2209702.0
2016-05-24,130.76,132.99,130.31,132.59,1939160.0
2016-05-25,133.21,134.3,132.78,133.42,1715751.0
2016-05-26,133.5,133.96,132.66,132.98,1127180.0
2016-05-27,132.98,134.53,132.96,134.0,1232877.0
2016-05-31,134.6,134.75,133.48,133.67,2106502.0
2016-06-01,133.58,134.85,133.1,134.53,2057288.0
2016-06-02,134.26,136.15,134.01,136.04,3223326.0
2016-06-03,135.61,137.12,135.15,136.84,2970097.0
2016-06-06,136.92,138.39,136.51,138.15,2328177.0
2016-06-07,138.35,138.5,136.88,136.94,2109709.0
2016-06-08,137.27,140.89,137.0,140.4,5044185.0
2016-06-09,140.49,140.87,139.54,140.68,2755984.0
2016-06-10,140.25,140.39,138.64,139.24,2144347.0
2016-06-13,138.91,140.13,138.08,138.09,2163169.0
2016-06-14,137.88,138.26,137.34,137.87,2213735.0
2016-06-15,137.74,138.17,137.05,137.26,1770940.0
2016-06-16,137.21,138.89,136.38,138.66,2474295.0
2016-06-17,138.76,138.85,136.55,137.69,3296565.0
2016-06-20,139.22,139.84,138.14,138.52,2824825.0
2016-06-21,139.2,139.23,138.07,138.19,1526728.0
2016-06-22,138.45,139.54,137.63,137.9,1738365.0
2016-06-23,139.35,139.98,138.01,139.19,1821645.0
2016-06-24,135.66,138.62,135.15,137.29,2848972.0
2016-06-27,136.15,137.39,135.48,137.11,3165966.0
2016-06-28,138.21,139.09,137.65,138.71,3178300.0
2016-06-29,139.48,140.68,139.48,140.52,2240785.0
2016-06-30,140.68,141.31,140.24,141.2,3294195.0
2016-07-01,141.16,141.79,140.62,140.86,2162534.0
2016-07-05,140.15,141.91,140.03,141.56,2759716.0
2016-07-06,140.98,142.96,140.97,142.38,2924676.0
2016-07-07,142.37,142.66,139.95,140.8,2864693.0
2016-07-08,141.7,141.78,139.54,141.27,2747470.0
2016-07-11,141.27,141.6,140.01,140.32,3080274.0
2016-07-12,140.89,140.95,139.37,139.86,3312449.0
2016-07-13,140.75,141.59,139.92,141.48,2514406.0
2016-07-14,142.34,142.85,140.47,140.84,2133706.0
2016-07-15,141.65,142.78,141.06,141.33,2898249.0
2016-07-18,141.76,141.9,139.62,140.75,2769727.0
2016-07-19,140.75,142.63,139.32,142.59,4560486.0
2016-07-20,143.47,144.48,142.81,143.02,4495740.0
2016-07-21,142.87,143.73,142.13,142.87,2808504.0
2016-07-22,143.69,144.05,142.92,143.69,1993142.0
2016-07-25,143.55,143.89,141.41,141.73,1953601.0
2016-07-26,141.94,142.19,141.02,141.7,2091621.0
2016-07-27,141.23,142.34,139.91,141.68,2118073.0
2016-07-28,141.36,143.03,141.19,142.76,1901457.0
2016-07-29,141.85,143.9,141.6,143.2,2398191.0
2016-08-01,143.42,144.16,143.04,143.51,1843407.0
2016-08-02,143.81,143.97,142.34,143.17,2021244.0
2016-08-03,143.33,143.62,142.42,142.88,1265719.0
2016-08-04,143.1,143.48,142.26,142.71,1275379.0
2016-08-05,143.37,143.54,142.4,142.99,1400241.0
2016-08-08,142.61,143.07,141.86,142.13,1135597.0
2016-08-09,142.55,143.13,141.68,141.82,1595873.0
2016-08-10,141.87,142.34,140.93,142.19,1377424.0
2016-08-11,142.24,143.06,141.44,142.63,1485664.0
2016-08-12,142.19,143.14,141.5,142.88,1329416.0
2016-08-15,142.96,143.11,141.49,141.62,1567868.0
2016-08-16,141.15,141.61,140.33,141.08,1051657.0
2016-08-17,141.25,141.91,140.66,141.71,1349929.0
2016-08-18,141.67,142.84,141.27,142.17,1091808.0
2016-08-19,141.65,142.25,141.22,142.04,1514414.0
2016-08-22,142.11,143.0,141.71,142.09,1116175.0
2016-08-23,142.55,142.87,141.75,142.01,1821056.0
2016-08-24,142.0,142.08,139.51,139.87,1878454.0
2016-08-25,139.72,139.75,137.03,137.3,3056123.0
2016-08-26,137.67,138.3,135.99,136.62,2374110.0
2016-08-29,137.2,138.04,136.48,137.27,1778633.0
2016-08-30,137.01,137.69,136.24,136.87,1509833.0
2016-08-31,136.55,136.82,135.55,136.05,1726899.0
2016-09-01,136.46,136.98,135.35,135.74,2136619.0
2016-09-02,136.5,136.78,135.76,136.61,1800521.0
2016-09-06,136.62,136.85,135.63,135.97,1509080.0
2016-09-07,135.0,135.96,134.2,134.99,2192964.0
2016-09-08,134.47,135.62,134.41,135.44,1970154.0
2016-09-09,134.71,135.15,133.62,133.62,2273503.0
2016-09-12,132.7,135.72,132.39,135.53,2338410.0
2016-09-13,134.24,135.15,133.37,133.95,2540524.0
2016-09-14,133.87,134.69,132.98,133.69,3707413.0
2016-09-15,133.18,136.09,132.88,135.61,2540658.0
2016-09-16,135.61,138.55,135.53,138.47,5760912.0
2016-09-19,138.68,139.39,137.52,137.68,2645962.0
2016-09-20,138.13,138.53,137.05,137.47,1809222.0
2016-09-21,138.2,139.96,137.99,139.91,2614984.0
2016-09-22,140.49,141.41,140.32,141.04,2361334.0
2016-09-23,141.02,141.78,140.36,140.51,2196290.0
2016-09-26,139.95,140.17,138.9,139.72,1967404.0
2016-09-27,139.99,140.84,138.69,140.79,1836560.0
2016-09-28,141.13,141.71,139.66,140.41,1457882.0
2016-09-29,140.18,140.28,137.84,138.32,1587052.0
2016-09-30,139.18,140.48,138.42,140.0,2611552.0
2016-10-03,139.35,139.72,138.02,138.49,2137889.0
2016-10-04,138.69,139.36,137.16,138.16,1683094.0
2016-10-05,138.21,138.93,136.6,137.6,3853096.0
2016-10-06,137.31,137.49,135.66,136.47,3289974.0
2016-10-07,137.21,137.55,135.98,136.66,1801978.0
2016-10-10,136.97,138.35,136.97,138.08,2031016.0
2016-10-11,137.32,137.69,134.37,134.75,2557440.0
2016-10-12,134.98,135.72,133.64,135.1,3728330.0
2016-10-13,134.65,134.65,133.61,134.19,2515098.0
2016-10-14,134.78,135.51,133.89,133.92,2732620.0
2016-10-17,133.94,134.43,133.03,134.13,2907677.0
2016-10-18,139.2,143.95,137.87,143.39,8496598.0
2016-10-19,143.82,146.36,142.82,144.37,4894901.0
2016-10-20,144.49,145.88,143.98,145.07,4276028.0
2016-10-21,144.26,145.44,143.76,145.37,2635341.0
2016-10-24,146.0,146.22,144.02,144.69,2347212.0
2016-10-25,144.88,145.38,143.6,143.78,2360705.0
2016-10-26,143.75,143.78,141.88,142.23,2533734.0
2016-10-27,142.72,143.25,141.58,141.94,2436323.0
2016-10-28,141.66,142.35,139.44,140.35,3305842.0
2016-10-31,140.88,141.54,139.97,141.33,2353582.0
2016-11-01,141.51,141.51,138.82,139.43,2503021.0
2016-11-02,139.02,141.23,138.93,138.98,2290919.0
2016-11-03,139.18,140.34,137.65,137.83,2267149.0
2016-11-04,138.45,138.89,137.69,137.71,2452528.0
2016-11-07,139.97,142.44,139.55,141.93,2583410.0
2016-11-08,141.35,143.61,141.0,142.9,3358726.0
2016-11-09,139.54,144.19,136.22,141.9,6532395.0
2016-11-10,142.34,146.57,142.0,146.13,4665477.0
2016-11-11,146.71,147.5,146.01,146.42,3519604.0
2016-11-14,147.32,152.92,147.04,152.28,4520852.0
2016-11-15,153.51,153.96,151.51,152.23,3158711.0
2016-11-16,151.99,153.0,151.23,151.5,3199504.0
2016-11-17,151.82,151.92,150.19,150.77,3971049.0
2016-11-18,151.05,151.66,149.4,149.45,4880382.0
2016-11-21,149.72,150.66,148.56,150.41,2939306.0
2016-11-22,151.01,152.93,150.56,152.26,3955737.0
2016-11-23,152.21,153.74,150.96,153.54,2032206.0
2016-11-25,153.93,154.5,152.61,152.81,1311901.0
2016-11-28,152.7,152.82,150.0,152.11,3792037.0
2016-11-29,156.94,158.13,155.18,157.59,4609256.0
2016-11-30,157.47,159.76,157.07,158.32,4834020.0
2016-12-01,159.12,161.72,159.12,160.94,4204491.0
2016-12-02,161.0,162.52,160.56,160.73,2585264.0
2016-12-05,160.19,160.67,156.23,157.63,4567786.0
2016-12-06,158.17,158.23,156.26,157.32,2381702.0
2016-12-07,157.89,159.98,156.35,159.4,3281407.0
2016-12-08,159.41,160.24,158.0,159.32,2705887.0
2016-12-09,159.52,160.16,157.71,160.12,2345712.0
2016-12-12,158.83,159.66,157.75,159.49,2625858.0
2016-12-13,160.4,161.71,160.06,160.54,2929252.0
2016-12-14,161.14,161.8,158.72,159.86,2860080.0
2016-12-15,159.87,161.29,159.43,160.62,2544702.0
2016-12-16,161.38,164.0,161.19,163.94,4797665.0
2016-12-19,163.09,163.94,161.22,161.54,2505936.0
2016-12-20,161.71,163.11,161.41,161.59,2471725.0
2016-12-21,161.42,162.29,159.62,161.33,2029514.0
2016-12-22,161.39,161.88,160.27,161.58,2230912.0
2016-12-23,161.56,163.04,160.55,163.03,1605309.0
2016-12-27,163.26,163.96,162.45,162.64,928729.0
2016-12-28,162.16,163.25,161.32,161.44,1157351.0
2016-12-29,161.92,162.36,160.39,161.04,1936169.0
2016-12-30,161.37,161.48,159.85,160.04,1623819.0
2017-01-03,161.13,162.27,159.15,161.45,2543750.0
2017-01-04,162.35,162.58,159.74,161.91,1874424.0
2017-01-05,161.75,162.63,161.51,162.18,1799982.0
2017-01-06,161.75,162.94,161.11,162.41,2023385.0
2017-01-09,162.0,162.43,160.78,161.95,2247876.0
2017-01-10,161.27,162.98,160.5,161.58,2487961.0
2017-01-11,161.3,162.94,160.61,161.89,2256229.0
2017-01-12,161.69,162.94,160.89,162.36,1848035.0
2017-01-13,162.16,162.74,161.41,161.8,2419317.0
2017-01-17,162.61,162.97,157.51,160.66,4179390.0
2017-01-18,161.06,161.2,156.09,157.74,5182311.0
2017-01-19,157.74,160.55,157.24,158.7,3447381.0
2017-01-20,159.09,159.8,157.81,158.66,2480159.0
2017-01-23,158.62,159.52,156.56,159.07,3061539.0
2017-01-24,159.36,161.31,159.1,160.43,2704106.0
2017-01-25,160.91,161.98,160.35,161.24,2398409.0
2017-01-26,161.86,163.58,161.25,162.75,2874368.0
2017-01-27,163.33,163.8,162.62,162.99,2399730.0
2017-01-30,162.94,163.46,161.31,162.09,1911614.0
2017-01-31,161.62,162.19,160.01,162.1,2095237.0
2017-02-01,162.75,163.9,162.03,162.71,2885292.0
2017-02-02,162.52,163.25,160.26,160.76,3689417.0
2017-02-03,161.13,162.0,160.21,161.87,1981038.0
2017-02-06,161.51,162.53,160.22,160.51,2252342.0
2017-02-07,161.05,161.68,159.54,160.53,2166381.0
2017-02-08,160.0,160.63,159.41,160.31,1708793.0
2017-02-09,160.34,161.3,159.56,160.44,2263705.0
2017-02-10,160.12,161.59,160.12,160.75,1410994.0
2017-02-13,160.59,162.02,160.59,161.99,2422555.0
2017-02-14,161.45,163.5,161.25,163.13,2316622.0
2017-02-15,162.58,164.89,162.58,164.29,3587777.0
2017-02-16,164.78,164.97,162.33,163.65,2536983.0
2017-02-17,158.97,160.16,156.49,157.62,9321992.0
2017-02-21,157.62,160.82,157.52,160.57,3933324.0
2017-02-22,160.91,161.78,159.64,160.57,2090226.0
2017-02-23,161.33,162.6,160.69,162.6,1778826.0
2017-02-24,162.67,163.09,161.74,163.06,2028390.0
2017-02-27,163.16,165.46,162.81,165.38,3192126.0
2017-02-28,165.47,166.76,164.9,165.38,2899116.0
2017-03-01,166.72,168.6,166.35,167.94,2550159.0
2017-03-02,168.32,168.43,166.96,167.31,1269429.0
2017-03-03,167.37,168.45,166.62,168.2,1635337.0
2017-03-06,167.43,169.35,167.13,168.7,1732918.0
2017-03-07,168.45,169.36,167.93,168.3,1872871.0
2017-03-08,167.61,168.46,166.8,167.91,1359608.0
2017-03-09,168.15,169.07,167.74,168.01,1777474.0
2017-03-10,168.42,170.0,168.06,169.98,2622322.0
2017-03-13,169.99,170.93,169.55,170.21,2094113.0
2017-03-14,169.66,170.18,168.5,169.06,1550549.0
2017-03-15,169.36,171.97,169.29,171.78,2057126.0
2017-03-16,171.32,172.14,170.22,171.3,2200614.0
2017-03-17,171.09,171.54,169.59,169.7,4296595.0
2017-03-20,169.93,170.24,167.92,168.0,2492793.0
2017-03-21,168.67,168.82,167.06,167.7,3926947.0
2017-03-22,168.13,168.38,165.63,167.03,2305465.0
2017-03-23,166.23,166.93,164.77,165.29,2814333.0
2017-03-24,166.2,167.4,164.35,165.0,3532761.0
2017-03-27,163.92,165.11,163.31,164.6,3131091.0
2017-03-28,164.58,166.07,163.84,165.35,4430456.0
2017-03-29,164.66,164.97,162.74,163.44,4633854.0
2017-03-30,163.65,165.93,163.46,164.99,2390187.0
2017-03-31,164.64,165.1,163.75,164.01,2195296.0
2017-04-03,164.62,166.14,164.25,165.59,2612994.0
2017-04-04,165.87,166.45,164.79,164.97,2139596.0
2017-04-05,165.76,167.26,165.22,165.37,2728226.0
2017-04-06,165.45,166.02,164.84,165.34,1944078.0
2017-04-07,164.96,166.5,164.62,166.02,2274473.0
2017-04-10,166.19,167.0,165.28,165.48,2263042.0
2017-04-11,164.89,165.84,164.6,165.83,2475572.0
2017-04-12,166.32,166.42,164.6,165.56,2277184.0
2017-04-13,164.95,165.65,164.67,164.96,1494554.0
2017-04-17,164.99,167.42,164.96,167.18,3388788.0
2017-04-18,170.25,170.25,167.7,168.59,4617124.0
2017-04-19,169.59,171.19,168.69,169.25,3849928.0
2017-04-20,169.52,172.19,168.37,171.54,2965213.0
2017-04-21,172.13,172.62,170.47,171.16,2266984.0
2017-04-24,172.66,173.16,171.7,172.33,1999679.0
2017-04-25,173.5,174.74,173.19,174.04,2145527.0
2017-04-26,174.51,175.65,173.98,174.38,2115622.0
2017-04-27,174.07,176.07,174.03,174.63,1883375.0
2017-04-28,174.61,175.0,173.91,174.88,1215512.0
2017-05-01,175.0,176.14,174.09,174.59,1897262.0
2017-05-02,174.91,175.37,170.27,174.14,4015857.0
2017-05-03,173.75,174.3,171.86,172.54,2619431.0
2017-05-04,172.95,174.21,172.38,174.02,1848063.0
2017-05-05,174.54,174.88,173.31,174.12,1548992.0
2017-05-08,173.93,174.56,173.56,174.44,1463849.0
2017-05-09,174.1,174.77,172.73,173.24,1142699.0
2017-05-10,173.04,173.64,172.46,173.39,1115872.0
2017-05-11,172.76,173.86,171.67,173.32,1228828.0
2017-05-12,172.64,173.39,171.52,171.81,1658645.0
2017-05-15,171.79,172.0,170.23,171.53,2131514.0
2017-05-16,170.89,171.0,167.25,168.12,3470595.0
2017-05-17,166.96,170.39,166.65,168.86,3433618.0
2017-05-18,168.16,173.98,167.87,171.45,2918980.0
2017-05-19,172.3,172.95,170.25,172.59,2906808.0
2017-05-22,173.0,174.9,172.7,174.7,2454676.0
2017-05-23,174.44,175.52,173.71,175.22,1794562.0
2017-05-24,175.41,176.1,174.52,175.59,1137763.0
2017-05-25,176.01,178.73,175.93,178.05,1575463.0
2017-05-26,177.68,178.89,177.0,177.5,1134171.0
2017-05-30,177.54,178.08,176.24,176.59,1435722.0
2017-05-31,176.89,176.9,174.92,175.18,2004225.0
2017-06-01,175.78,179.58,175.19,179.58,2028624.0
2017-06-02,179.73,179.92,178.34,179.39,1841046.0
2017-06-05,179.65,180.33,179.16,179.37,1551081.0
2017-06-06,179.19,181.06,178.48,180.82,1854197.0
2017-06-07,182.0,183.47,179.65,183.21,2565204.0
2017-06-08,183.34,183.76,180.98,181.69,1692214.0
2017-06-09,181.84,182.4,180.85,181.46,1566034.0
2017-06-12,181.01,181.82,176.42,179.25,2794921.0
2017-06-13,179.21,181.39,179.14,181.05,1601314.0
2017-06-14,181.61,182.84,180.94,182.36,1396624.0
2017-06-15,181.75,183.5,180.09,180.38,2100215.0
2017-06-16,180.83,182.46,180.38,181.63,2856314.0
2017-06-19,182.25,183.02,180.76,183.02,2178690.0
2017-06-20,182.75,183.42,182.21,183.27,1908963.0
2017-06-21,183.49,185.11,182.71,184.92,2104949.0
2017-06-22,184.9,188.66,184.78,186.5,2782643.0
2017-06-23,186.27,186.27,184.13,185.25,1547122.0
2017-06-26,185.13,185.89,183.39,185.12,1415817.0
2017-06-27,185.72,186.8,184.22,184.6,1777380.0
2017-06-28,185.68,186.31,185.09,185.7,1515252.0
2017-06-29,185.82,186.09,184.33,185.27,1392454.0
2017-06-30,185.15,186.19,184.93,185.42,1126212.0
2017-07-03,186.29,187.53,185.74,186.65,1098895.0
2017-07-05,186.14,188.36,185.72,188.25,1751466.0
2017-07-06,188.12,188.19,186.15,186.94,1191870.0
2017-07-07,187.35,188.43,187.01,187.96,1228334.0
2017-07-10,187.33,188.0,186.15,186.95,1647110.0
2017-07-11,187.0,187.66,185.09,185.95,1695998.0
2017-07-12,186.71,187.3,186.41,186.69,2679899.0
2017-07-13,187.0,187.28,185.32,185.48,1567514.0
2017-07-14,185.81,187.13,184.77,186.9,1980171.0
2017-07-17,187.07,187.25,185.76,186.35,1840432.0
2017-07-18,186.95,187.2,183.86,186.85,3142524.0
