date,open,high,low,close,volume
2016-03-28,22.64,22.86,22.64,22.71,14107083.0
2016-03-29,22.72,22.74,22.48,22.68,16743492.0
2016-03-30,22.77,23.0,22.76,22.93,18606600.0
2016-03-31,22.92,23.06,22.82,22.83,14697690.0
2016-04-01,22.67,23.07,22.67,23.02,16056711.0
2016-04-04,23.0,23.12,22.97,23.03,17203803.0
2016-04-05,23.01,23.08,22.76,22.88,14512800.0
2016-04-06,22.9,23.02,22.84,23.01,12672351.0
2016-04-07,22.94,22.98,22.65,22.74,14954304.0
2016-04-08,22.77,22.8,22.62,22.69,14907180.0
2016-04-11,22.67,22.79,22.46,22.47,19152315.0
2016-04-12,22.52,22.96,22.48,22.93,19075773.0
2016-04-13,23.0,23.14,22.96,23.05,14876838.0
2016-04-14,23.05,23.08,22.72,22.93,17269440.0
2016-04-15,22.98,23.14,22.98,23.02,14927541.0
2016-04-18,23.02,23.3,22.95,23.29,14608338.0
2016-04-19,23.26,23.36,23.17,23.26,18170766.0
2016-04-20,23.25,23.33,23.04,23.07,13343934.0
2016-04-21,23.16,23.23,22.75,22.82,17319447.0
2016-04-22,22.94,22.98,22.76,22.91,15238794.0
2016-04-25,22.85,23.17,22.69,23.16,14587194.0
2016-04-26,23.23,23.3,23.03,23.1,13484628.0
2016-04-27,23.16,23.26,23.0,23.14,13005186.0
2016-04-28,23.02,23.21,22.92,22.97,11513604.0
2016-04-29,22.91,22.94,22.12,22.29,30692190.0
2016-05-02,22.21,22.57,22.18,22.53,17281914.0
2016-05-03,22.29,22.5,22.25,22.33,14918322.0
2016-05-04,22.28,22.5,22.15,22.4,14391141.0
2016-05-05,22.32,22.42,22.19,22.4,21392247.0
2016-05-06,22.3,22.75,22.27,22.75,24936195.0
2016-05-09,22.75,23.03,22.72,22.98,20512566.0
2016-05-10,22.97,23.04,22.82,22.93,15443091.0
2016-05-11,22.49,22.5,21.87,22.14,38568942.0
2016-05-12,22.18,22.35,22.13,22.28,23060313.0
2016-05-13,22.16,22.18,21.55,21.65,35409480.0
2016-05-16,21.62,22.12,21.56,22.01,21976953.0
2016-05-17,22.02,22.09,21.63,21.7,23714400.0
2016-05-18,21.01,21.26,20.91,21.05,58687875.0
2016-05-19,22.69,23.11,22.5,23.07,89269890.0
2016-05-20,23.11,23.38,22.95,23.29,44470908.0
2016-05-23,23.2,23.35,23.15,23.17,22645095.0
2016-05-24,23.22,23.47,23.18,23.41,22712877.0
2016-05-25,23.42,23.67,23.41,23.49,19102968.0
2016-05-26,23.56,23.79,23.53,23.62,18781161.0
2016-05-27,23.62,23.63,23.5,23.58,14037696.0
2016-05-31,23.53,23.67,23.49,23.59,16058145.0
2016-06-01,23.5,23.64,23.47,23.5,18052086.0
2016-06-02,23.5,23.67,23.38,23.65,16449330.0
2016-06-03,23.52,23.68,23.51,23.62,15734007.0
2016-06-06,23.84,23.85,23.67,23.68,22715943.0
2016-06-07,23.7,23.77,23.62,23.68,16550928.0
2016-06-08,23.62,23.82,23.6,23.76,14991159.0
2016-06-09,23.79,23.86,23.62,23.7,15821547.0
2016-06-10,23.67,23.8,23.56,23.71,17830563.0
2016-06-13,23.66,23.73,23.49,23.51,15677346.0
2016-06-14,23.55,23.72,23.4,23.65,23086143.0
2016-06-15,23.73,23.87,23.67,23.71,19199559.0
2016-06-16,23.67,23.82,23.6,23.77,16977360.0
2016-06-17,23.68,23.77,23.47,23.65,26977236.0
2016-06-20,23.77,23.93,23.68,23.7,18165777.0
2016-06-21,23.65,23.91,23.65,23.82,16220316.0
2016-06-22,23.87,24.08,23.85,23.92,21601854.0
2016-06-23,24.07,24.08,23.93,24.03,15870876.0
2016-06-24,23.52,24.24,23.5,23.99,33589257.0
2016-06-27,23.88,23.92,23.62,23.83,26378583.0
2016-06-28,23.92,23.96,23.56,23.84,21114042.0
2016-06-29,23.88,24.16,23.85,24.15,16863111.0
