date,open,high,low,close,volume
2016-03-28,84.03,84.36,83.7,84.22,4989681.0
2016-03-29,83.67,84.62,83.16,84.53,7490512.0
2016-03-30,85.03,85.05,84.0,84.52,8499635.0
2016-03-31,84.07,85.1,83.59,83.59,9782978.0
2016-04-01,82.4,83.39,82.39,82.96,9218966.0
2016-04-04,83.06,83.9,82.78,83.16,6215711.0
2016-04-05,82.61,83.13,81.99,82.21,8467874.0
2016-04-06,82.69,83.46,82.3,83.31,7324777.0
2016-04-07,82.76,83.17,82.05,82.37,6471054.0
2016-04-08,83.21,83.45,82.85,83.21,7715550.0
2016-04-11,83.33,84.24,83.28,83.32,6777095.0
2016-04-12,83.69,84.63,83.37,84.35,8025266.0
2016-04-13,84.5,84.91,84.04,84.83,7414238.0
2016-04-14,85.0,85.9,84.76,85.43,8722163.0
2016-04-15,85.3,85.66,84.78,84.97,8319048.0
2016-04-18,83.89,85.86,83.86,85.78,7053831.0
2016-04-19,85.85,86.31,85.22,86.21,8251454.0
2016-04-20,86.23,87.44,85.97,86.8,10135297.0
2016-04-21,86.91,87.84,86.57,86.79,9648247.0
2016-04-22,87.24,87.64,86.82,87.53,6889647.0
2016-04-25,87.09,87.4,86.35,87.33,6280008.0
2016-04-26,87.75,87.94,87.06,87.63,6960076.0
2016-04-27,87.95,88.72,87.33,88.46,8532761.0
2016-04-28,87.86,88.78,87.5,88.03,8540654.0
2016-04-29,88.68,89.78,87.74,88.4,13490414.0
2016-05-02,88.24,89.48,88.08,89.13,8442997.0
2016-05-03,88.4,88.63,87.35,88.11,8039482.0
2016-05-04,88.3,88.74,87.6,87.94,8505998.0
2016-05-05,88.76,88.97,87.62,88.04,7116533.0
2016-05-06,87.46,88.69,87.46,88.51,6537247.0
2016-05-09,88.6,88.76,87.23,88.57,9010590.0
2016-05-10,88.9,90.0,88.82,89.99,10244406.0
2016-05-11,89.16,89.68,88.72,88.81,9267928.0
2016-05-12,89.8,89.93,89.15,89.67,8639479.0
2016-05-13,89.28,89.66,88.51,88.66,7369997.0
2016-05-16,89.2,89.67,89.0,89.57,6411466.0
2016-05-17,89.27,89.91,89.16,89.53,7204222.0
2016-05-18,89.8,90.0,88.65,89.35,7583243.0
2016-05-19,88.61,90.16,88.45,90.11,11299511.0
2016-05-20,90.39,90.4,89.38,89.74,8861762.0
2016-05-23,89.0,89.9,88.82,89.6,8753954.0
2016-05-24,89.89,90.4,89.55,89.67,7176893.0
2016-05-25,89.85,90.37,89.59,90.26,7462177.0
2016-05-26,90.25,90.46,89.27,89.8,6242482.0
2016-05-27,89.4,90.05,89.32,90.01,5696844.0
2016-05-31,90.0,90.2,88.73,89.02,7060122.0
2016-06-01,88.43,89.45,88.13,89.24,6192710.0
2016-06-02,88.2,88.53,87.61,88.53,7946665.0
2016-06-03,88.44,88.83,88.03,88.37,7318134.0
2016-06-06,88.87,89.5,88.69,89.34,6116303.0
2016-06-07,89.75,90.92,89.71,90.71,9686295.0
2016-06-08,91.03,91.3,90.53,90.79,7268317.0
2016-06-09,90.18,91.03,90.11,90.67,7096972.0
2016-06-10,90.39,90.92,89.78,89.98,8034720.0
2016-06-13,89.92,91.43,89.7,90.59,9119640.0
2016-06-14,90.45,90.87,89.85,90.43,8306371.0
2016-06-15,90.2,90.9,90.0,90.16,8490788.0
2016-06-16,89.7,91.39,89.11,91.22,9910760.0
2016-06-17,91.49,91.59,90.19,90.72,11988349.0
2016-06-20,91.29,91.59,91.07,91.12,7536607.0
2016-06-21,90.72,91.64,90.25,91.53,6140851.0
2016-06-22,91.84,91.93,91.0,91.17,6711117.0
2016-06-23,91.93,92.07,91.19,91.8,7566244.0
2016-06-24,89.88,90.8,89.15,89.39,14913579.0
2016-06-27,88.9,89.1,88.11,88.86,11045830.0
2016-06-28,89.73,90.93,89.52,90.91,9555337.0
2016-06-29,91.41,92.7,91.12,92.46,11317677.0
2016-06-30,92.33,93.83,92.3,93.74,9764595.0
2016-07-01,93.36,93.98,93.07,93.84,7459594.0
2016-07-05,93.08,93.6,92.25,93.02,7840156.0
2016-07-06,93.35,94.12,92.44,94.09,10526030.0
2016-07-07,94.34,94.49,92.35,92.96,9843168.0
2016-07-08,93.39,93.78,92.92,93.54,7547119.0
2016-07-11,93.75,94.41,93.65,93.89,6842937.0
2016-07-12,94.67,94.95,94.09,94.95,7591432.0
2016-07-13,94.65,94.92,94.11,94.88,7609959.0
2016-07-14,95.05,95.53,94.62,94.95,7387564.0
2016-07-15,95.46,95.55,94.64,95.12,7154764.0
2016-07-18,94.92,95.15,94.4,94.82,7236081.0
2016-07-19,94.76,94.94,94.2,94.47,4278507.0
2016-07-20,94.25,94.42,93.8,93.93,5953711.0
2016-07-21,93.89,94.26,93.46,93.85,4773894.0
2016-07-22,94.11,94.3,93.72,94.01,5022922.0
2016-07-25,93.47,93.62,91.76,92.2,7899035.0
2016-07-26,91.63,92.03,91.11,91.53,10079109.0
2016-07-27,91.5,91.81,90.63,90.91,8017147.0
2016-07-28,90.54,90.73,89.61,90.2,10196561.0
2016-07-29,87.61,89.01,86.12,88.95,18592138.0
2016-08-01,88.09,88.15,85.59,85.86,19227857.0
2016-08-02,86.45,87.32,85.58,87.04,15958197.0
2016-08-03,87.01,87.49,86.6,87.49,10460837.0
2016-08-04,87.5,87.65,87.03,87.48,10869131.0
2016-08-05,87.7,87.83,87.15,87.56,6829493.0
2016-08-08,88.05,88.89,88.03,88.59,7157151.0
2016-08-09,88.62,88.76,88.18,88.7,7357886.0
2016-08-10,87.78,87.92,86.01,86.41,10582185.0
2016-08-11,86.69,87.27,86.26,86.72,8336241.0
2016-08-12,86.96,87.98,86.9,87.85,7483605.0
2016-08-15,88.42,88.5,87.64,87.81,5186748.0
2016-08-16,87.83,88.18,87.37,87.92,5187530.0
2016-08-17,87.92,88.18,87.66,88.11,5608875.0
2016-08-18,88.38,88.94,88.12,88.91,7559543.0
2016-08-19,88.63,88.74,87.79,87.8,6907296.0
2016-08-22,87.31,88.1,86.84,87.99,5802806.0
2016-08-23,87.86,88.02,87.56,87.72,4283609.0
2016-08-24,87.5,88.16,87.35,88.02,6259859.0
2016-08-25,88.0,88.03,87.24,87.46,4825367.0
2016-08-26,87.63,88.11,87.0,87.27,5222150.0
2016-08-29,87.04,87.92,87.04,87.84,3975594.0
2016-08-30,87.87,88.25,87.36,87.52,4936007.0
2016-08-31,87.14,87.21,86.22,87.14,6947901.0
