,value
returns_cagr,0.1317766192914136
returns_total_return,1.9685177019772797
returns_annual_return_arith,0.12378862752687984
returns_avg_monthly_return,0.010264742811172463
returns_best_year,0.3295762610395055
returns_worst_year,-0.1609948024804757
returns_pct_positive_months,0.5471698113207547
returns_n_years,8.78968253968254
returns_final_value,296851.77019772795
risk_annual_volatility,0.1420192489006302
risk_downside_deviation,0.1046878508684584
risk_var_95,-0.014671087987283513
risk_var_99,-0.02509332131203176
risk_cvar_95,-0.02089835995481391
risk_cvar_99,-0.031296206329190716
risk_skewness,-0.26805968305061834
risk_kurtosis_excess,2.2220517113561122
risk_autocorrelation,0.002337081682853164
drawdown_max_drawdown,-0.22462623913655866
drawdown_max_dd_duration_days,545.0
drawdown_recovery_days,297.0
drawdown_current_drawdown,-0.08645314756161582
drawdown_pct_time_underwater,0.7756207674943567
ratios_sharpe,0.5758136303666279
ratios_sortino,0.7811471781397723
ratios_calmar,0.5866483799842355
ratios_omega,1.0985582989631688
ratios_mar,8.763525176506848
benchmark_alpha,0.06083031952993821
benchmark_beta,0.20226319537974433
benchmark_information_ratio,0.052366806040777626
benchmark_tracking_error,0.18565316539145146
benchmark_correlation_bm,0.22068378890908533
benchmark_up_capture,0.3685615774045463
benchmark_down_capture,0.2582418019590496
