date,portfolio_value,benchmark_value
2016-03-18,100000.0,100000.0
2016-03-21,100000.0,100074.73564618177
2016-03-22,100000.0,100111.01006316021
2016-03-23,100000.0,99565.26976813727
2016-03-24,100000.0,99654.23667754233
2016-03-28,100000.0,99706.17311217399
2016-03-29,100000.0,100334.95885183306
2016-03-30,100000.0,100640.09149801203
2016-03-31,100000.0,100429.40054616953
2016-04-01,100000.0,101065.73774464073
2016-04-04,100000.0,100752.33095589727
2016-04-05,100000.0,100275.78492362874
2016-04-06,100000.0,101184.4105952811
2016-04-07,100000.0,100197.62498494895
2016-04-08,100000.0,100083.77560328181
2016-04-11,100000.0,100011.88992443228
2016-04-12,100000.0,100884.82058182546
2016-04-13,100000.0,102084.49873726943
2016-04-14,100000.0,102397.8353860403
2016-04-15,100000.0,102260.0772030704
2016-04-18,100000.0,102625.05648359505
2016-04-19,100000.0,103032.3633057298
2016-04-20,100000.0,103509.66066746072
2016-04-21,100000.0,103289.00246565106
2016-04-22,100000.0,102998.030947275
2016-04-25,100000.0,102843.9232302731
2016-04-26,100000.0,102906.69887489725
2016-04-27,100000.0,102852.76854416578
2016-04-28,100000.0,102161.05723430029
2016-04-29,100000.0,102030.91123901382
2016-05-02,100000.0,102728.70456884964
2016-05-03,100000.0,101976.77802760388
2016-05-04,100000.0,101274.56952583209
2016-05-05,100000.0,101017.37430158025
2016-05-06,100000.0,101555.12341002481
2016-05-09,100000.0,101358.83954369907
2016-05-10,100000.0,102372.19037379033
2016-05-11,100000.0,101514.56881881495
2016-05-12,100000.0,101480.10112421158
2016-05-13,100000.0,101086.00481508161
2016-05-16,100000.0,101858.47756542008
2016-05-17,100000.0,101098.62890448325
2016-05-18,100000.0,101614.34985426255
2016-05-19,100000.0,101468.95952374398
2016-05-20,100000.0,101761.32797801911
2016-05-23,100000.0,101533.52194521885
2016-05-24,100000.0,102576.91289755347
2016-05-25,100000.0,103228.58634735526
2016-05-26,100000.0,103297.15457148183
2016-05-27,100000.0,103561.44711533435
2016-05-31,100000.0,103392.04774048824
2016-06-01,100000.0,103312.39166252095
2016-06-02,100000.0,103465.9224223744
2016-06-03,100000.0,102957.44142223986
2016-06-06,100000.0,103367.42749979284
2016-06-07,100000.0,103455.86318707472
2016-06-08,100000.0,103743.88057093175
2016-06-09,100000.0,103547.53951877469
2016-06-10,100000.0,102612.09558551911
2016-06-13,100000.0,101970.13127978478
2016-06-14,100000.0,101584.09289814693
